i	dep_id	name	dev_stat	url	code_list	longitude	latitude
2584	10035557	"Golden Wonder"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035557"	" AU "	-122.77779	41.71595
2587	10035890	"Occurrence"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035890"	" AU AG "	-122.83083	40.77152
2646	10043492	"I Wonder Occurrence"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10043492"	" CR "	-123.07361	40.33846
2924	10077569	"Big Dyke"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10077569"	" AG "	-122.57193	40.53679
2926	10077803	"Multum In Parvo Placer"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10077803"	" AU "	-123.21224	41.3004
3105	10103041	"Slide"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103041"	" AU "	-122.46527	40.64402
3109	10103292	"Captain Smith"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103292"	" AU "	-123.08556	41.26817
3153	10109525	"Pioneer Placer Mine"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10109525"	" AU PGE_PT PGE_OS "	-124.06337	41.44205
3213	10116703	"Sheba"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10116703"	" AU "	-123.41584	41.72923
3224	10117469	"Triangle"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10117469"	" AU "	-122.7389	40.73045
3225	10117659	"Pansy Mine"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10117659"	" AU "	-122.75691	40.97125
3384	10138909	"Mettah Hydraulic"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10138909"	" AU "	-123.81424	41.27343
3391	10139263	"Three Creeks Limestone"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139263"	" LST_D "	-123.72333	40.94064
3392	10139297	"Unnamed Location"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139297"	" LST_D "	-123.99304	40.77514
3402	10140509	"Balaklava Mine"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10140509"	" CU AU S_P "	-122.4919	40.73875
3408	10140922	"Hoy"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10140922"	" CR "	-122.4317	41.06485
3414	10141403	"Mumbo Creek Group"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141403"	" CR "	-122.57421	41.18624
3415	10141572	"Siskiyou Dredging Company"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141572"	" AU AG "	-122.81362	41.69064
3579	10163670	"Bluff Creek Lode"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163670"	" AU CU "	-123.65054	41.23093
3593	10165453	"Occurrence"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10165453"	" FE "	-122.5303	40.66735
3601	10166021	"Hupp and Mcmarray"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10166021"	" AU AG "	-122.92421	40.73235
3773	10190184	"Wildwood Placer"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10190184"	" AU "	-123.15691	40.51765
3889	10208062	"Little Papoose"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10208062"	" AU "	-122.73501	40.80515
3923	10213351	"Sauerkraut Placer Mine"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10213351"	" AU "	-123.37693	41.31343
3936	10216041	"Iron Mountain Mine"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10216041"	" FE "	-122.518	40.67265
4085	10235990	"Unnamed Location"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10235990"	" AU "	-123.59974	41.26563
4102	10238459	"Rocky Point"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238459"	" AU AG "	-123.02193	41.70563
4281	10263029	"Burnt Ranch"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10263029"	" AU PGE "	-123.46802	40.80594
4440	10283953	"Goose Creek"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10283953"	" CR "	-123.93305	41.68152
4445	10284898	"W A Preston Prospect"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10284898"	" FE "	-124.06754	40.87673
4467	10287341	"Hyampom"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10287341"	" LST_D STN_C "	-123.44672	40.59154
4469	10287490	"Neptune Group"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10287490"	" ASB "	-122.46671	41.36984
4473	10287854	"Hazel"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10287854"	" AU "	-122.7442	40.63295
4595	10305078	"Steelhead No. 1"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10305078"	" AU "	-123.65054	41.23093
4922	10033697	"Last Hope Claim"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10033697"	" MN "	-123.0875	40.51485
4927	10034210	"Rebel Copper"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10034210"	" CU "	-123.25833	40.32207
4929	10034459	"Milkmaid"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10034459"	" AU PB "	-122.66971	40.71874
4938	10035492	"Advance"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035492"	" AU "	-123.02251	41.33873
4939	10035591	"New York"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035591"	" AU CU "	-122.85084	41.68762
4941	10035866	"Geneva"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035866"	" AU "	-122.91973	41.13928
5010	10043432	"Crescent Claim"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10043432"	" CR "	-123.93559	41.66676
5011	10043504	"Railroad Lease Mine"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10043504"	" CR "	-122.52444	41.16595
5566	10114772	"Red Lasseck"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10114772"	" CU "	-123.55802	40.34155
5569	10115063	"Section Sixteen Claim"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10115063"	" CR "	-123.95945	41.69042
5591	10116754	"White King"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10116754"	" AU "	-122.43719	40.55205
5784	10138236	"Gilmore"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10138236"	" CR "	-123.97005	41.69812
5790	10138881	"Orleans Placer"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10138881"	" AU "	-123.64114	41.30343
5812	10141588	"Enterprise"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141588"	" AU "	-123.00173	41.73903
5814	10141983	"Mt. View Mine"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141983"	" AU "	-122.71671	40.84985
5975	10163207	"Johnston Deposit"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163207"	" STN_C "	-124.18944	40.31734
5977	10163382	"Murphy Prospect"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163382"	" MN "	-123.55032	40.21875
5985	10163888	"A-21 Quarry"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163888"	" STN_C "	-124.07085	41.06453
5993	10164926	"Hornet"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10164926"	" AU AG "	-122.8694	40.45405
5996	10165083	"Pilot Dredging Co Ltd"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10165083"	" AU "	-122.45169	40.48375
5998	10165964	"Kinkaid"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10165964"	" AU "	-123.15692	41.27654
6187	10188093	"Red Porphry"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10188093"	" AU AG "	-123.63503	40.98094
6211	10190584	"Four Point Claim"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10190584"	" MN "	-123.30641	40.43955
6334	10207525	"Unnamed"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207525"	" CR "	-122.535	41.08485
6382	10213652	"Tom Green"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10213652"	" AU "	-122.6944	40.71315
6383	10213752	"Harbor"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10213752"	" AU "	-123.36113	41.30564
6385	10214243	"Pallestreau"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10214243"	" CR "	-123.36502	40.61924
6560	10237845	"Salt Springs No. 1"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10237845"	" GEO "	-122.6461	40.66985
6563	10238323	"Gold and Nickel"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238323"	" AU "	-122.62941	41.44014
6564	10238330	"Black Magic Graphite"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238330"	" GRF "	-123.54444	41.56233
6570	10239030	"Salmon River Mines Co"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10239030"	" AU "	-122.96582	41.25404
6723	10261061	"Salstrom"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10261061"	" AU AG "	-123.56034	41.28843
6735	10263016	"Caribou Mine"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10263016"	" AU "	-122.95361	41.04674
6737	10263145	"Pacific Gold Dredge Company"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10263145"	" AU AG "	-122.66051	41.06704
6740	10263403	"Pollard Drift Claim"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10263403"	" AU "	-122.81172	41.29514
6742	10263516	"Carrie"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10263516"	" AU "	-123.25922	41.08374
6922	10287129	"Copper Queen"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10287129"	" CU HG "	-122.67891	41.07044
6927	10287565	"Fratis"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10287565"	" AU "	-122.90721	40.60015
6930	10287779	"Sharper"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10287779"	" AU AG "	-123.56423	40.89124
7352	10030524	"Dry Lagoon Drive"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10030524"	" CLY "	-124.10448	41.1965
7378	10033456	"Burns Prospect"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10033456"	" MN "	-123.65806	40.33429
7383	10033853	"King Copper Group"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10033853"	" CU "	-122.50527	40.69846
7387	10034202	"High Grade and Teressa"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10034202"	" CU "	-123.23029	41.07845
7392	10035378	"Baldwin Group"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035378"	" AU "	-122.72389	41.32956
7398	10035838	"Unnamed"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035838"	" AU CU "	-122.63778	41.14401
7399	10035879	"Oriole"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035879"	" AU "	-122.86639	40.61096
7400	10035883	"Cleveland Mine"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035883"	" AU CU "	-122.78138	40.54624
7401	10035887	"Bigelow"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035887"	" AU "	-122.99639	40.80902
7402	10035900	"Modoc"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035900"	" AU FE "	-123.42502	41.08873
7419	10038041	"Valdor Dredge"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038041"	" AU PGE_PT PGE_OS "	-123.09639	40.7654
7457	10043467	"Zachary Group"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10043467"	" CR "	-122.97054	40.30541
7458	10043488	"Gray Fox Occurrence"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10043488"	" CR "	-123.14667	40.39402
7722	10076580	"Unnamed Location"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10076580"	" CLY "	-124.15558	40.65928
7728	10077575	"Hardscrabble"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10077575"	" AU "	-122.5272	40.50402
7729	10077592	"Busy Bee"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10077592"	" CU "	-122.5186	40.67763
7795	10086610	"Buzzard Hill Mine, Inc."	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10086610"	" AU CU "	-123.43531	41.73094
7907	10103020	"Alliance"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103020"	" AU "	-122.4947	40.56902
7908	10103430	"Triangle"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103430"	" AU "	-122.73138	40.72652
7937	10109405	"Hale Creek Mine"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10109405"	" MN "	-123.46862	40.36596
7946	10111130	"Chaparral Hill"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111130"	" MN "	-122.88084	41.60234
7986	10116753	"Florida"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10116753"	" AU "	-122.48469	40.54765
7988	10117009	"Bozza Mine"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10117009"	" AU "	-123.43724	41.72123
7989	10117350	"Bald Steer Claim"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10117350"	" MN "	-122.51279	40.15766
7992	10117831	"Helena"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10117831"	" AU "	-123.12501	40.71155
8157	10141030	"Milligans Bar Mine"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141030"	" AU "	-123.50394	41.62293
8162	10141635	"Oro Grande"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141635"	" AU CU "	-122.82282	41.26654
8163	10141718	"Gypsy Queen Group"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141718"	" AU "	-122.86781	41.13124
8348	10163480	"Martin and Murphy Claim"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163480"	" MN "	-123.64442	40.40204
8374	10165702	"Pay-As-You-Go"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10165702"	" AU AG "	-122.97031	40.58875
8567	10189995	"Nugget"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10189995"	" AU "	-122.77171	41.31404
8573	10190492	"Bhk Dredge"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10190492"	" AU "	-122.91641	40.70175
8903	10236375	"Golden Cornucopia"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10236375"	" AU AG "	-123.63504	41.24563
8917	10238303	"Last Chance"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238303"	" AU "	-122.7392	40.74235
8920	10238674	"Prospect"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238674"	" CU AG "	-122.68719	40.07176
8922	10238818	"Unnamed"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238818"	" AU "	-123.16801	40.46045
8924	10238885	"Black Bear"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238885"	" MN "	-123.38552	40.70674
9255	10284161	"High Channel"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10284161"	" AU "	-123.97055	41.66622
9282	10287561	"One Hundred Dollar Mine"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10287561"	" AU "	-123.10582	41.32624
9408	10304486	"Unnamed"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10304486"	" CR "	-122.57111	41.31624
9670	10029727	"Carla"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10029727"	" CR PGE_PT "	-123.96115	41.70676
9679	10030533	"Unknown"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10030533"	" AU "	-123.91781	41.09289
9708	10034398	"Combination"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10034398"	" AU "	-122.68138	40.72429
9709	10034442	"J.I.C."	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10034442"	" AU "	-122.5986	40.72263
9720	10035375	"White Dog"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035375"	" AU "	-123.31224	41.19373
9721	10035439	"Last Chance"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035439"	" AU "	-122.93029	41.57595
9722	10035443	"Magnitude"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035443"	" AU AS "	-122.75556	41.71762
9724	10035585	"Unnamed"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035585"	" AU "	-122.8814	41.67234
9785	10043516	"Chrome Center No. 1, 2, 3 Claims"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10043516"	" CR "	-123.08139	40.37485
10220	10103287	"Snowflake and Little Gem"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103287"	" AU "	-123.11168	41.25984
10277	10111161	"C and M Dredging Co"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111161"	" AU "	-122.80695	41.7154
10511	10140683	"Scorpion Mine"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10140683"	" AU "	-122.7036	40.71655
10512	10140744	"Griffith Dragline"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10140744"	" AU "	-122.42859	40.53155
10519	10141455	"Hi-You Mines"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141455"	" AU "	-122.81722	41.72204
10520	10141644	"Bablew"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141644"	" AU AG "	-122.81301	40.71675
10710	10164995	"Unnamed Property"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10164995"	" AU "	-122.42359	40.38426
10713	10165571	"Monarch Mine"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10165571"	" AU "	-123.13052	41.27484
10714	10165695	"Long Tom"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10165695"	" AU "	-123.07972	41.29514
10717	10166051	"Yreka Gold Mining Co"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10166051"	" AU "	-123.19033	41.33174
10718	10166053	"Unnamed"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10166053"	" AU "	-123.13472	40.82154
10906	10190224	"Tom Head"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10190224"	" CU "	-122.8044	40.14876
10914	10190751	"Unnamed"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10190751"	" FE "	-122.83111	41.02654
11090	10213458	"Limestone"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10213458"	" AU "	-123.20253	41.25404
11099	10214830	"P & W Minco"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10214830"	" AU "	-123.33942	40.78344
11307	10237787	"Bonanza Group"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10237787"	" AU "	-123.31193	41.28624
11321	10238972	"Up Grade"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238972"	" AU "	-123.40862	40.90844
11653	10285481	"Monschke Quarry"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10285481"	" STN_C "	-123.77802	40.11485
11663	10286499	"O K"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10286499"	" AU AG "	-122.5492	40.63985
11670	10287475	"Talcott Mine"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10287475"	" AU "	-123.01972	41.05064
12089	10030531	"Unknown"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10030531"	" MN "	-123.94697	40.76817
