i	dep_id	line	struct_type	struct	struct_text	inserted_by	insert_date	updated_by	update_date
28	"10082635"	2	"L"	""	"Deposit spatially related to cross-cutting dacite dike"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
29	"10082635"	1	"R"	""	"Lowermost Portage Lake volcanics flows"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
30	"10005673"	1	"L"	""	"Manto"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
31	"10007792"	1	"L"	""	"N- And E-Trending Faults Terminate Orebody"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
32	"10067499"	1	"R"	""	"Hornblende Schist-Gneiss"	"woodruff"	"19-JUN-2003 12:30:31"	""	""
33	"10101599"	1	"R"	""	"Wasatch Mountains"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
34	"10101599"	1	"L"	""	"West Hill"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
35	"10093741"	1	"R"	""	"Polaris Fault"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
36	"10102365"	1	"L"	""	"Pegmatite Is Concordant With The Foliation Of The Enclosing Country Rock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
37	"10046394"	1	"L"	""	"Fault Trending N30w, 6 Se Cuts Off Vein On The East"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
38	"10094548"	1	"R"	""	"Front Range, Tarryall Mountains, Puma Hills"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
39	"10094548"	1	"L"	""	"Lake George Ring Dike Complex, Nw-Trending Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
40	"10068452"	1	"R"	""	"Euwtaw Formation; Sandy Clay"	"woodruff"	"20-OCT-2003 11:39:30"	""	""
41	"10014382"	1	"R"	""	"Gunnison Uplift, San Juan Volcanic Field, West Elk Centers"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
42	"10014382"	1	"L"	""	"Gunnison Gold Belt, Unnamed Syncline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
43	"10078881"	1	"R"	""	"Northnortheast"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
44	"10022133"	1	"R"	""	"Gentle W. Dip Of 60 Ft/Mi Or Less, Off Bend Arch"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
45	"10046769"	1	"R"	""	"Silver Peak Caldera"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
46	"10046769"	1	"L"	""	"Ne-Trending Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
47	"10088064"	1	"R"	""	"Dome"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
48	"10109649"	1	"L"	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
49	"10040319"	1	"R"	""	"Hot Creek Range ; Reg.Trends: North"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
50	"10040319"	1	"L"	""	"Ne Trending Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
51	"10026950"	1	"R"	""	"Steep Northerly Trending Zones Of Shearing And Brecciation In Volcanic Rocks"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
52	"10026950"	1	"L"	""	"Manganese Deposits Form Narrow Interlacing Seams And Small Irregular Bunches Surrounding Unmineralized Framgments Of Wall Rock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
53	"10014116"	1	"R"	""	"San Juan Uplift, Paradox Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
54	"10014116"	1	"L"	""	"Rico Dome, Blackhawk Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
55	"10013979"	1	"R"	""	"Front Range Uplift, Cheyenne Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
56	"10013979"	1	"L"	""	"Big Thompson Anticline, Nw-Trending Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
57	"10047394"	1	"R"	""	"Central Part Of Eugeosynclinal Basin And Range Of Nevada."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
58	"10072521"	5	"L"	"Faults"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
59	"10072521"	1	"R"	"Faults"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
60	"10102359"	1	"L"	""	"Pegmatite Is Concordant With The Foliation Of The Enclosing Country Rock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
61	"10059026"	1	"R"	""	"Near Falla Salado"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
62	"10089179"	1	"R"	""	"Idaho Batholith"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
63	"10089179"	1	"L"	""	"Fracturing That Strikes N 80 Deg E And Dips 80 Deg Sw"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
64	"10098585"	1	"L"	""	"Postmineral Crushing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
65	"10103739"	1	"R"	""	"Block Faulting Trending Nnw ; Reg.Trends: Minor Pre-Cretaceous E And Ne Trending Folds And Major Post-Cretaceous Nnw Trending Faults."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
66	"10022123"	1	"R"	""	"Gentle W. Dip About 15-30 Ft/Mi Off Bend Arch"	"MRDS migration"	"29-OCT-02"	""	""
67	"10310540"	1	"L"	""	"NE-TRENDING FAULTS"	"Surveys and Analysis Project"	"07-SEP-2007 10:13:07"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
68	"10310540"	1	"R"	""	"SILVER PEAK CALDERA"	"Surveys and Analysis Project"	"07-SEP-2007 10:13:19"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
69	"10046431"	1	"L"	""	"Nw-Trending Fault"	"MRDS migration"	"29-OCT-02"	""	""
70	"10099334"	1	"L"	""	"Falla De Sobrescurrimiento"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
71	"10065300"	1	"R"	""	"Slightly Folded, Faulted"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
72	"10045303"	1	"R"	""	"Ne-Trending Faults"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
73	"10011594"	1	"L"	""	"Vein Is Part Of A Radial System Of Veins Associated With The Copper Flat Monzonite Porphyry."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
74	"10090119"	1	"R"	""	"Sevier Thrust System"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
75	"10090119"	1	"L"	""	"Faulting, Iron Mtn. Intrusion,"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
76	"10306086"	1	"R"	""	"Limestone"	"woodruff"	"03-JUL-2003 15:08:41"	""	""
77	"10045166"	1	"R"	""	"Roberts Mountain Thrust"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
78	"10107486"	1	"R"	""	"Located In The Area Where West Sayan And The Minusinsk Basin Join ...  Restricted To The Southeastern Limb Of An Anticline, Consisting Of Lower Cambrian Volcanogenic-Sedimentary Rocks...  (Smirnov 1977, Vol . I, P. 67)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
79	"10027576"	1	"R"	""	"Foliation In Precambrian Shcist And Gneiss Trends N25e To N65e"	"MRDS migration"	"29-OCT-02"	""	""
80	"10027576"	1	"L"	""	"Veins (And Genetically-Related (?)) Dikes Trend N10w To N40w And Crosscut Precambrian Fabric"	"MRDS migration"	"29-OCT-02"	""	""
81	"10026967"	1	"L"	""	"Fault N30 To 45w Brings Quartzite On The Sw Against Limestone On Ne.  Bedding Plane Faults, Ne 25-45, And Minor Ne Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
82	"10096534"	1	"R"	""	"Ne-Sw"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
83	"10079520"	1	"R"	""	"Nw-Se"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
84	"10079520"	1	"L"	""	"Joints And Faults Trending Nw-Se Dipping 25 Degrees Ne"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
85	"10022054"	1	"R"	""	"Gentle Dip To N., Probably Less Than 1 Degree, Off Bend Arch."	"MRDS migration"	"29-OCT-02"	""	""
86	"10096536"	1	"L"	""	"Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
87	"10079492"	1	"L"	""	"Steeply Inclined Shear Zone Trending Nw-Se"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
88	"10070222"	1	"R"	""	"High-Angle Faulting And Westward Tilting Of The Fault Blocks."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
89	"10070222"	1	"L"	""	"Unconformity Between The Andesite Flows And The Greenstone And Marble Formations."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
90	"10059599"	1	"L"	""	"Located At Crest Of Anticline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
91	"10071401"	1	"R"	""	"San Rafael Swell, (Anticline), Paradox Fold - And Fault Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
92	"10071401"	1	"L"	""	"Periodic Folds In Sub - Morrison Sediments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
93	"10080339"	1	"L"	""	"The Intrusive Has Domed The Host Sediments Accounting For The Horizontal Orientation Of The Veins"	"MRDS migration"	"29-OCT-02"	""	""
94	"10098630"	1	"L"	""	"Anti-Clinical Flexure"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
95	"10024333"	1	"R"	""	"Harzburgite-Dunite Transition Zone In Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
96	"10019093"	1	"R"	""	"Bearmouth Overthrust"	"MRDS migration"	"29-OCT-02"	""	""
97	"10019093"	1	"L"	""	"Clinton Stock"	"MRDS migration"	"29-OCT-02"	""	""
98	"60000937"	2	"R"	""	"AT BOUNDARY OF PALEOZOIC AND PRECAMBRIAN"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
99	"10042310"	1	"R"	""	"Sevier Orogenic Belt, Pioche Mineral Belt, Beaver Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
100	"10010603"	1	"R"	""	"Mineral Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
101	"10042191"	1	"R"	""	"N Ne"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
102	"10042191"	1	"L"	""	"Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
103	"10103565"	1	"L"	""	"Several Small Faults Trending Nw Dipping Sw."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
104	"10042282"	1	"R"	""	"Pioche Mineral Belt, Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
105	"10042282"	1	"L"	""	"Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
106	"10020029"	1	"R"	""	"Oquirrh Mtns."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
107	"10020029"	1	"L"	""	"Near Crest Of Ophir Anticline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
108	"10013202"	1	"R"	""	"Thirtynine Mile Volcanic Field"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
109	"10013202"	1	"L"	""	"Paleovalleys Along Fourmile Creek And Its Adjacent Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
110	"10037206"	1	"R"	""	"Fredrickson Rift Belt (Nw Belt Of Pronounced Shearing)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
111	"10037206"	1	"L"	""	"Several Faults Exposed In The Workings;  75 Feet East Of The Mouth Of The Main Tunnel Is A Fault Breccia Striking N 17 W And Dipping 65 W, Separating Bullion Dolomite From Bird Spring Fm. Base.  This Fault Is Cut Off On The N By Another Eastward Dipping Fault."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
112	"10043978"	1	"R"	""	"Scott Canyon And Dewitt Thrust Faults"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
113	"10043978"	1	"L"	""	"N-S Trendin G Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
114	"10062440"	1	"R"	""	"Located Between 2 Major Up-To-The-Ne Sw Trending Normal Faults"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
115	"10062440"	1	"L"	""	"Minor Nw Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
116	"10107166"	1	"R"	""	"Gypsum Karst"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
117	"10101935"	1	"L"	""	"Fault Zone Trending N 80 W, Dip 60 N"	"MRDS migration"	"29-OCT-02"	""	""
118	"10013364"	1	"R"	""	"Northern Wet Mountains, Canon City Embayment, Thirtynine Mile Volcanic Field"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
119	"10013364"	1	"L"	""	"Shear Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
120	"10087252"	1	"R"	""	"Mineral Mountains"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
121	"10082711"	1	"R"	""	"Westward plunging synclinorium open at western end; regional trends are eas"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
122	"10027605"	1	"L"	""	"Here, A Northwestward-Trending Dike Of Fine-Grained Granite Porphyry, About Eighty Feet Wide Is Cut By A Fault That Strikes Northeast, And Dips Steeply Northwest"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
123	"10102854"	1	"L"	""	"Faulted Synclined Trough"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
124	"10042351"	1	"R"	""	"Steeply Dipping, Locally Overturned, West Limb Of A Northward Plunging Anticline."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
125	"10106199"	2	"L"	""	"Mass anticline"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
126	"10103739"	1	"L"	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
127	"10079524"	1	"R"	""	"Unconformity Existsbetween Basement Rocks And Miocene"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
128	"10079524"	1	"L"	""	"A Fault Of Nw Strike 340 Degrees Dipping 65-75 Degrees Se"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
129	"10104635"	1	"L"	""	"Fault Trending Ns."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
130	"10077884"	1	"L"	"Highly sheared host rock"	""	"DCAUSEY"	"03-FEB-2009 15:21:24"	""	""
131	"10022797"	1	"R"	""	"Boulder Batholith"	"MRDS migration"	"29-OCT-02"	""	""
132	"10022797"	1	"L"	""	"Granite Peak Stock"	"MRDS migration"	"29-OCT-02"	""	""
133	"10087762"	1	"L"	""	"Near the Cotopaxi fault, which is reported as barren."	"Surveys and Analysis Project"	"01-NOV-2007 00:00:00"	"Schruben, Paul"	"01-NOV-2007 00:00:00"
134	"10087762"	1	"R"	""	"Thirtynine Mile Volcanic Field, Cotopaxi Fault"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
135	"10111259"	1	"L"	""	"Very Closely To A Basal Contact To The Ultramafic To Mafic Rock Mass. Gravity Fault Nw Trending"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
136	"10048264"	1	"R"	""	"Foliation In Precambrian Xenoliths (Quartz-Mica Schist) Trends N40e To N50e"	"MRDS migration"	"29-OCT-02"	""	""
137	"10048264"	1	"L"	""	"Veins Parallel Rhyolite Prophyry Dikes And Foliation In Precambrian Xenoliths"	"MRDS migration"	"29-OCT-02"	""	""
138	"10014407"	1	"R"	""	"Gunnison Uplift, San Juan Volcanic Field"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
139	"10014407"	1	"L"	""	"Gunnison Gold Belt, Iron Hill Alkalic Complex, Cimarron Fault, Tolvar Peak Stock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
140	"10046704"	1	"R"	""	"Columbia Mountain Fault"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
141	"10072658"	5	"L"	"Folds"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
142	"10072658"	1	"R"	"Folds"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
143	"10098602"	1	"L"	""	"Columbia Mountain Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
144	"10010824"	1	"L"	""	"Pioneer Batholith, Faults Cut Skarn, Bedding Trends N-S, 60 E"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
145	"10012935"	1	"R"	""	"Sawatch Arch, Sangre De Cristo Range, Rio Grande Rift"	"MRDS migration"	"29-OCT-02"	""	""
146	"10014368"	1	"R"	""	"Ne Trending Folds"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
147	"10005772"	1	"R"	""	"Fallas Y Pliegues Con Rumbo General Nw."	"MRDS migration"	"29-OCT-02"	""	""
148	"10005772"	1	"L"	""	"Cuerpo (De Reemplazamiento) Con Rumbo N 75 W"	"MRDS migration"	"29-OCT-02"	""	""
149	"10013828"	1	"R"	""	"Southern Mosquito Range, Arkansas Valley Graben"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
150	"10013828"	1	"L"	""	"N-Trending Faults, Pleasant Valley Syncline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
151	"10022048"	1	"R"	""	"Low Monoclinal Dip Wnw, About 1 Degree"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
152	"10103556"	1	"R"	""	"Large Thrust Faults And Associated Folds"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
153	"10102458"	1	"L"	""	"Brecciated Wall Rock; Fault Zone 7-8 Ft Wide Striki Ng S23e, Dipping 7one"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
154	"10306763"	1	"R"	""	"Calcareous Shale"	"woodruff"	"28-OCT-2003 08:53:00"	""	""
155	"10013248"	1	"R"	""	"Denver Basin, Front Range Uplift"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
156	"10013248"	1	"L"	""	"Denver Basin"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
157	"10073245"	1	"L"	"Minor Fractures"	""	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"20-DEC-2008 12:37:17"
158	"10025906"	1	"R"	""	"East Of Brevard Fault Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
159	"10025906"	1	"L"	""	"Small Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
160	"10024271"	1	"R"	""	"Tectonica Andina Nw-Se"	"MRDS migration"	"29-OCT-02"	""	""
161	"10024271"	1	"L"	""	"E-W"	"MRDS migration"	"29-OCT-02"	""	""
162	"10043964"	1	"R"	""	"Thrust Faults, N-Trending Faults"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
163	"10310487"	1	"R"	""	"thrust faults, N-trending faults"	"Surveys and Analysis Project"	"07-SEP-2007 10:13:17"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
164	"10310487"	1	"L"	""	"Country rocks strike N-S and dip steeply east and are strongly crumpled."	"Surveys and Analysis Project"	"07-SEP-2007 10:13:05"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
165	"10014288"	1	"R"	""	"Boulder Batholith"	"MRDS migration"	"29-OCT-02"	""	""
166	"10014288"	1	"L"	""	"Scratchgravel Granodiorite Stock"	"MRDS migration"	"29-OCT-02"	""	""
167	"10088795"	1	"R"	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
168	"10088795"	1	"L"	""	"Virgin Anticline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
169	"10001350"	1	"R"	""	"Funter Bay Anticline; Axial Plane: N15w, 38 E Dip"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
170	"10037350"	1	"L"	""	"Minor Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
171	"10103818"	1	"L"	""	"Local Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
172	"10089533"	1	"R"	""	"Salt Valley Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
173	"10054893"	1	"L"	""	"En Superficie Se Puede Apreciar Una Falla De Rumbo N 25 W, Buzamiento 60 Sw, Potencia 0.2 M. Y Que Aflora En 30 M. Y Esta Constituida Con Escasas Diseminaciones De Minerales De Plomo Y Zinc, Que En Profundidad Tienden A Estrangularse."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
174	"10111483"	1	"R"	""	"Walker Lane, In An Area With Right Lateral N20w To N40w Faults Which Correlate With Other Areas Of Possible Mineralization (Boulder, Hottentot, Calico) (Satkoski, P. 78). Nw Faults Offset In Places By Ne Faults."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
175	"10088096"	1	"R"	""	"Henry Mtns Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
176	"10111483"	1	"L"	""	"Shearing.  Fault Trending N50e Separates Quartz Monzonite From More Massive Granodionite.  Later Quartz Veins."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
177	"10088568"	1	"L"	""	"Fisuras"	"MRDS migration"	"29-OCT-02"	""	""
178	"60000793"	2	"R"	""	"SHORELINE ENVIRONMENT WITH BEACH AND DUNE FORMATIONS"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
179	"60000783"	2	"R"	""	"SHORELINE ENVIRONMENT WITH BEACH AND DUNE FORMATIONS"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
180	"10024498"	1	"R"	""	"Structural Embayments At Basal Contact Of Ultramafic Intrusion With Metasediments; Also Disseminated Within Intrus-Ion."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
181	"10069212"	1	"R"	""	"In Wiluna - Norseman Trend"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
182	"10073073"	1	"R"	""	"In Nw Limb Of A Ne Plunging Anticline."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
183	"10023477"	1	"L"	""	"Fault"	"MRDS migration"	"29-OCT-02"	""	""
184	"10004836"	1	"L"	""	"N-S Trending Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
185	"10061543"	1	"R"	""	"Isoclinal Folding"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
186	"10005881"	1	"R"	""	"Aguilar Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
187	"10020043"	1	"L"	""	"Ahlstrom Reverse Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
188	"10090914"	1	"R"	""	"Washakie Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
189	"10090914"	1	"L"	""	"Washakie Basin"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
190	"10013155"	1	"R"	""	"Washakie Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
191	"10013155"	1	"L"	""	"Washakie Basin"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
192	"10106199"	1	"R"	""	"Syncline"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
193	"10078729"	1	"R"	""	"Salt Valley Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
194	"10014076"	1	"R"	""	"San Juan Uplift, San Juan Basin, San Juan Volcanic Field"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
195	"10014076"	1	"L"	""	"Needle Mtns Uplift, Chicago Basin Stock, Eolus Batholith, Trimble Stock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
196	"10027868"	1	"L"	""	"Schistosity Dips 30 N"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
