i	id	tblorder	tblname	number	label	category	short_desc	description	link	origin	sqltype	dbftype	width	prec	units
52	56	5	"commodity"	9	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
53	57	5	"commodity"	10	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
54	58	5	"commodity"	11	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
55	60	6	"conc_proc"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
56	61	6	"conc_proc"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
57	62	6	"conc_proc"	3	"CONC_PROC"	"Site characteristics"	"Concentration terms"	"Category terms derived from the non-controlled text field CONC_PROC_TEXT"	""	""	"varchar"	"C"	75		""
58	63	6	"conc_proc"	4	"CONC_PROC_TEXT"	"Site characteristics"	"Description of concentration processes"	"Text describing processes that concentrated or enriched the minerals in the deposit, such as oxidation, evaporation, and so on, from old MRDS."	""	""	"varchar"	"C"	1111		""
59	64	6	"conc_proc"	5	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
60	65	6	"conc_proc"	6	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
61	66	6	"conc_proc"	7	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
62	67	6	"conc_proc"	8	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
63	69	7	"coords"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
64	70	7	"coords"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
65	71	7	"coords"	3	"LAT_DEC"	"Geographic location"	"Latitude"	"Latitude in decimal degrees, south latitude negative"	""	""	"double"	"N"	8		""
66	72	7	"coords"	4	"LON_DEC"	"Geographic location"	"Longitude"	"Longitude in decimal degrees, -180 to 180, west longitude negative."	""	""	"double"	"N"	8		""
67	73	7	"coords"	5	"DATUM"	"Geographic location"	"Datum"	"Horizontal datum of the geographic coordinates given in lat_dec and lon_dec."	""	""	"varchar"	"C"	80		""
68	74	7	"coords"	6	"WGS84_LAT"	"Geographic location"	"Geographic latitude"	"Geographic latitude of the site, in decimal degrees with respect to horizontal datum WGS84."	""	""	"double"	"N"	8		"decimal degrees"
69	75	7	"coords"	7	"WGS84_LON"	"Geographic location"	"Geographic longitude"	"Geographic longitude of the site in decimal degrees with respect to horizontal datum WGS84."	""	""	"double"	"N"	8		"decimal degrees"
70	77	7	"coords"	9	"LOC_PREC"	"Geographic location"	"Location precision"	"Rough estimate of the maximum likely real-world distance from the point location given to the actual feature, in meters."	""	""	"varchar"	"C"	300		"meters"
71	78	7	"coords"	10	"REL_POS"	"Geographic location"	"Relative position"	"General description of the point location relative to other physical or cultural features nearby"	""	""	"varchar"	"C"	1275		""
72	79	7	"coords"	11	"ELEV"	"Geographic location"	"Elevation"	"Elevation of the given geographic location in meters above mean sea level."	""	""	"int"	"N"	8		"meters"
73	80	7	"coords"	12	"ELEV_U"	"Geographic location"	"Elevation units"	"Units of measure for elevation (obsolete, all recorded values are now ""m"" for meters)"	""	""	"varchar"	"C"	2		""
74	81	7	"coords"	13	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
75	82	7	"coords"	14	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
76	84	7	"coords"	16	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
77	86	8	"datadxny"	1	"id"	"Metadata"	"Row ID"	"Row ID to facilitate changes in the table"	""	""	"int"	"N"	8		""
78	87	8	"datadxny"	2	"tblorder"	"Metadata"	"Table order"	"Sequence index for ordering tables in display"	""	""	"int"	"N"	8		""
79	88	8	"datadxny"	3	"tblname"	"Metadata"	"Table name"	"Name of the database table"	""	""	"varchar"	"C"	20		""
80	89	8	"datadxny"	4	"number"	"Metadata"	"Field number"	"Sequence index for ordering fields within the tables in display"	""	""	"int"	"N"	8		""
81	90	8	"datadxny"	5	"label"	"Metadata"	"Field label"	"Field identifier within tables, typically somewhat mnemonic but also generally short and simple to facilitate use in database software."	""	""	"varchar"	"C"	32		""
82	91	8	"datadxny"	6	"category"	"Metadata"	"Category"	"General category of information contained in the field"	""	""	"varchar"	"C"	50		""
83	92	8	"datadxny"	7	"short_desc"	"Metadata"	"Short description"	"Brief descriptive text serving as an enhanced field label, may contain spaces or other characters that would not work in database field names."	""	""	"varchar"	"C"	40		""
84	93	8	"datadxny"	8	"description"	"Metadata"	"Description"	"Longer text explaining what the field contents are, possibly with examples and notes on the usage, scope, and history of those contents."	""	""	"varchar"	"C"	4096		""
85	94	8	"datadxny"	9	"link"	"Metadata"	"Online linkage"	"Hypertext link, where appropriate, to online information about the field or its general contents.  Used in some databases on MRData.usgs.gov to link the data dictionary to USGS publications that explain the fields in much greater detail."	""	""	"varchar"	"C"	96		""
86	95	8	"datadxny"	10	"origin"	"Metadata"	"Origin"	"Short identifier indicating the original source of the field or its definition.  Typically used where the field is carried forward from a much older data source such as the NURE program."	""	""	"varchar"	"C"	12		""
87	96	8	"datadxny"	11	"sqltype"	"Metadata"	"SQL type"	"Data type of the field as stored in MySQL"	""	""	"varchar"	"C"	8		""
88	97	8	"datadxny"	12	"dbftype"	"Metadata"	"DBF type"	"Data type of the field when exported as DBF"	""	""	"char"	"C"	1		""
89	98	8	"datadxny"	13	"width"	"Metadata"	"Field width"	"Maximum number of characters in the field."	""	""	"int"	"N"	8		""
90	99	8	"datadxny"	14	"prec"	"Metadata"	"Field precision"	"For use with numeric fields in DBF files, the number of digits to the right of the decimal point that will be exported."	""	""	"int"	"N"	8		""
91	100	8	"datadxny"	15	"units"	"Metadata"	"Units"	"For numeric fields only, the units of measure of the data in the field, if units apply"	""	""	"varchar"	"C"	64		""
92	102	9	"deposits"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
93	103	9	"deposits"	2	"REC_TP"	"Site identification"	"Record type"	"General characteristics of the record: Site, Plant, District, Deposit, or Region record."	""	""	"varchar"	"C"	10		""
94	104	9	"deposits"	3	"DEV_ST"	"Site characteristics"	"Development status"	"Category term describing operations at the time the deposit record was entered or this field was last modified: Occurrence, Prospect, Producer, Past Producer, Plant, or Unknown.  Occurrence: ore mineralization found in outcrop, shallow pits, or isolated drill hole.  Grade, tonnage, and extent of mineralization are unknown.  No production and little or no activity since discovery other than routine claim maintenance.   Prospect: development beyond the occurrence stage such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping.  Enough data has been gathered to estimate grade and tonnage.  Producer: a mine that was in production at the time the data was entered, includes intermittent and seasonal producers.  Past Producer: a former producer that was closed at the time of data entry with no known plans to re-open.  Plant: a mineral processing plant such as a smelter, refiner, beneficiation plant, active or inactive.  "	""	""	"varchar"	"C"	25		""
95	105	9	"deposits"	4	"DEP_TP"	"Site characteristics"	"Deposit type"	"Short genetic or morphological terms indicating the geological origin or form of the mineralization.  Generally less specific than a formal deposit model."	""	""	"varchar"	"C"	120		""
96	106	9	"deposits"	5	"PLANT_TP"	"Site characteristics"	"Plant type"	"General type of processing plant."	""	""	"varchar"	"C"	30		""
97	107	9	"deposits"	6	"PLANT_IDENT"	"Site characteristics"	"Plant subtype"	"Subtype of processing plant such as gravity, flotation, crush."	""	""	"varchar"	"C"	40		""
98	108	9	"deposits"	7	"OPER_TP"	"Site characteristics"	"Operation type"	"General category of operation at this site or proposed for it, such as surface, underground, leach, processing plant"	""	""	"varchar"	"C"	30		""
99	109	9	"deposits"	8	"MIN_METH"	"Site characteristics"	"Mining method"	"Predominant mining method used at this site, such as open pit, open stope, strip-level."	""	""	"varchar"	"C"	60		""
100	110	9	"deposits"	9	"MILL_METH"	"Site characteristics"	"Milling method"	"Predominant milling method used at this site, such as gravity or flotation"	""	""	"varchar"	"C"	60		""
101	111	9	"deposits"	10	"YFP_BA"	"Production and resources"	"Year first production modifier"	"Modifier for year of first production (YR_FST_PROD).  Before (<) or after (>) the specified date."	""	""	"char"	"C"	1		""
102	112	9	"deposits"	11	"YR_FST_PRD"	"Production and resources"	"First year of production"	"The year ore was first produced at this site."	""	""	"int"	"N"	8		""
103	113	9	"deposits"	12	"YLP_BA"	"Production and resources"	"Year last production modifier"	"Modifier for year of last production (YR_LST_PROD).  Before (<) or after (>) the specified date."	""	""	"char"	"C"	1		""
104	114	9	"deposits"	13	"YR_LST_PRD"	"Production and resources"	"Last year of production"	"The year ore was last produced at this site.  Optional modifier is YLP_BA."	""	""	"int"	"N"	8		""
105	115	9	"deposits"	14	"DISC_METH"	"Site characteristics"	"Discovery method"	"The most important method or feature used in the discovery of economic minerals at this site, such as drilling or geochemical anomaly."	""	""	"varchar"	"C"	40		""
106	116	9	"deposits"	15	"DY_BA"	"Site characteristics"	"Discovery year modifier"	"Modifier for the year the deposit was discovered (DISC_YR).  Before (<) or after (>) the specified date."	""	""	"char"	"C"	1		""
107	117	9	"deposits"	16	"DISC_YR"	"Site characteristics"	"Year of discovery"	"The year the deposit was discovered."	""	""	"int"	"N"	8		""
108	118	9	"deposits"	17	"PROD_YRS"	"Production and resources"	"Years of production"	"The range of years this site was producing.  May indicate more than one range, such as 1900-1915, 1918-1939, 1945 to present."	""	""	"varchar"	"C"	300		""
109	119	9	"deposits"	18	"DISCR"	"Site characteristics"	"Discoverer"	"The name of the company, organization, or person most closely involved in the discovery of this deposit."	""	""	"varchar"	"C"	400		""
110	120	9	"deposits"	19	"MAS_ID"	"Site identification"	"MAS ID"	"The unique 10 digit SEQuence number of this record within the MAS database."	""	""	"char"	"C"	10		""
111	121	9	"deposits"	20	"MRDS_ID"	"Site identification"	"MRDS ID"	"The unique 7-place alpha-numeric identifier for the record in old MRDS before the merger with MAS/MILS in 2002.  Records containing both MAS_ID and MRDS_ID are actually former MAS/MILS records - the MRDS_ID was assigned by USBM staff to show which MAS records had MRDS counterparts."	""	""	"char"	"C"	7		""
112	122	9	"deposits"	21	"SIG"	"Site characteristics"	"Significant"	"Indicates whether the deposit has world-class significance.  The criteria is total endowment of contained commodity, which includes all past production and reserves.  Each commodity is considered separately, commodities cannot be combined to arrive at a significant size.  The tonnage thresholds are from the deposit model grade-tonnage studies.  As of 6/2008, the field contains many entries that were classified as significant under less strict rules."	""	""	"char"	"C"	1		""
113	123	9	"deposits"	22	"PROD_SIZE"	"Production and resources"	"Production size"	"Production size - Large, Medium, Small, Yes, No.  From old MRDS, no guidelines were established for the size categories, which may have referred to the rate of production as opposed to the total cumulative production."	""	""	"char"	"C"	1		""
114	124	9	"deposits"	23	"SITE_COMMOD_TYPE"	"Commodities"	"Commodity type"	"Metallic, non-metallic, or both, reflects the type of commodities at the site, drawn from the commodity table."	""	""	"char"	"C"	1		""
115	125	9	"deposits"	24	"DEPOSIT_SIZE"	"Production and resources"	"Deposit size"	"Deposit size - Large, Medium, or Small.  The tonnage of the deposit including all production, reserves, and resources.  From old MRDS (former MAS/MILS records lack this field).  Size categories from Guild, P. W., and others, compilers, 1981, PRELIMINARY METALLOGENIC MAP OF NORTH AMERICA: U.S. Geological Survey Map, scale 1:5,000,000."	""	""	"char"	"C"	1		""
116	126	9	"deposits"	25	"MIN_AREA_NAME"	"Site characteristics"	"Mineralized area name"	"The name of a mineralized area as defined by deposits of similar geological model and environment, for instance the ""Boulder Tungsten Area"".  Related information is stored in the districts table and in the tectonic setting table."	""	""	"varchar"	"C"	200		""
117	127	9	"deposits"	26	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
118	128	9	"deposits"	27	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
119	129	9	"deposits"	28	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
120	130	9	"deposits"	29	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
121	132	10	"districts"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
122	133	10	"districts"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
123	134	10	"districts"	3	"DISTRICT"	"Site identification"	"District name"	"The name of the mining district or subdistrict.  May include other types of deposit-group names such as belts, zones, trends, groups, complexes, fields, such as ""Carlin Trend"".  But geological province names are stored in Tectonic Setting and mineralized-area names are stored in the Mineralized Area Name field."	""	""	"varchar"	"C"	200		""
124	135	10	"districts"	4	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
125	136	10	"districts"	5	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
126	137	10	"districts"	6	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
127	138	10	"districts"	7	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
128	140	11	"dups"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
129	141	11	"dups"	2	"DEP_ID_DUP"	"Site identification"	"Related record ID"	"Record ID of a related record, typically used where the two records seem to describe the same resource"	""	""	"varchar"	"C"	12		""
130	142	11	"dups"	3	"REL_TYPE"	"Site identification"	"Relationship type"	"Relationship between the records (duplicate, part-of, contains)"	""	""	"varchar"	"C"	50		""
131	143	11	"dups"	4	"NOTES"	"Site identification"	"Relationship notes"	"Additional qualification of the relationship between records"	""	""	"varchar"	"C"	222		""
132	145	12	"groupings"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
133	146	12	"groupings"	2	"REC"	"Metadata"	"Sub-record"	"Sequence index of this grouping record among others for the same mineral resource report"	""	""	"int"	"N"	8		""
134	147	12	"groupings"	3	"GROUP_NAME"	"Site identification"	"Group name"	"Text identifying the group to which this record belongs."	""	""	"varchar"	"C"	100		""
135	148	12	"groupings"	4	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
136	149	12	"groupings"	5	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
137	150	12	"groupings"	6	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
138	151	12	"groupings"	7	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
139	153	13	"holdings"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
140	154	13	"holdings"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
141	155	13	"holdings"	3	"HOLDING_TP"	"Production and resources"	"Holding type"	"Type of mineral-rights ownership at the site such as ""Federal Lease"" or ""Minerals Only""."	""	""	"varchar"	"C"	15		""
142	156	13	"holdings"	4	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
143	157	13	"holdings"	5	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
144	158	13	"holdings"	6	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
145	159	13	"holdings"	7	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
146	161	14	"land_status"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
147	162	14	"land_status"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
148	163	14	"land_status"	3	"LAND_ST"	"Site characteristics"	"Land status"	"General category of land ownership at the site, such as ""National Park"" or ""Private""."	""	""	"varchar"	"C"	35		""
149	164	14	"land_status"	4	"ADMIN_AREA"	"Site characteristics"	"Administrative area"	"Area name or more specific land ownership details, such as ""Assynt-Coigeach National Scenic Area"" or ""Partly within Boulder River Wilderness in Mount Baker National Forest""."	""	""	"varchar"	"C"	200		""
150	165	14	"land_status"	5	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
151	166	14	"land_status"	6	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
152	167	14	"land_status"	7	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
153	168	14	"land_status"	8	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
154	170	15	"location"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
155	171	15	"location"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
156	172	15	"location"	3	"REGION"	"Geographic location"	"Geographic region"	"Continent-scale geographic region abbreviation"	""	""	"varchar"	"C"	2		""
157	173	15	"location"	4	"COUNTRY"	"Geographic location"	"Country"	"Name of the country in which the resource lies."	""	""	"varchar"	"C"	70		""
158	174	15	"location"	5	"STATE_PROV"	"Geographic location"	"State or province"	"Name of the state or province in which the resource lies."	""	""	"varchar"	"C"	80		""
159	175	15	"location"	6	"COUNTY"	"Geographic location"	"County"	"County or equivalent subdivision of the state or province"	""	""	"varchar"	"C"	80		""
160	176	15	"location"	7	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
161	177	15	"location"	8	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
162	178	15	"location"	9	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
163	179	15	"location"	10	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
