i	dep_id	line	conc_proc	conc_proc_text	inserted_by	insert_date	updated_by	update_date
44	"10020292"	1	""	"Concentrated In Breccia Zones In A N15e Vein & An E-W Min. Fissure"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
45	"10081414"	1	""	"Weathering, Erosion, Fluvial Deposition"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
46	"10086832"	1	""	"Hidrotermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
47	"10109649"	1	""	"Supergene Enrichment Of Copper"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
48	"10011594"	1	""	"Oxidation Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
49	"10090119"	1	""	"Igneous-Metamorphic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
50	"10026950"	1	""	"Mineralization Along Fracture Zones And Concentration In Seams And Bunches"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
51	"10011085"	1	""	"Lake Terrace"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
52	"10103739"	1	""	"Fissure Filling"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
53	"10022054"	1	""	"Secondary Water"	"MRDS migration"	"29-OCT-02"	""	""
54	"10022133"	1	""	"Secondary Water"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
55	"10013828"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
56	"10111259"	1	""	"Liquid Magmatic Segregation (Paringit:) Hydrothermal Origin Of The Nickel Sulfide Deposits"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
57	"10022048"	1	""	"Secondary Water"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
58	"10087252"	1	""	"Pediment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
59	"10010603"	1	""	"Pediment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
60	"10025906"	1	""	"Magmatic Segregation Of Chromite, Ni, And Pgm.  Alteration Of The Ultramafic Body Formed Talc, Asbestos, And Vermiculite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
61	"10042282"	1	""	"Epithermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
62	"10040783"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
63	"10011030"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
64	"10107376"	1	""	"Uranium And Gold Originally Deposited In Detrital Form And Redeposited In Situ."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
65	"10011155"	1	""	"Wave Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
66	"10015349"	1	""	"Fluvial"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
67	"10037207"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
68	"10079563"	1	""	"Sedimentation And Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
69	"10022123"	1	""	"Secondary Water"	"MRDS migration"	"29-OCT-02"	""	""
70	"10070107"	1	""	"Supergene"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
71	"10008896"	1	""	"Hydrothermal Solution"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
72	"10013203"	1	""	"Concentration By Oxidized, Uranium-Bearing Groundwater Passing Through Areas With Localized Reducing Conditions Such As Carbonaceous Material (Mostly Wood Fragments) And Associated Pyrite In Fluvial Channel Saandstone."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
73	"10070222"	1	""	"Hematite Formed By Leaching Of Sulfide Bodies And Burial By The Andesite Flows; Pyrometasomatic Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
74	"10048264"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-02"	""	""
75	"10103556"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
76	"10310487"	1	""	"hydrothermal replacement"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
77	"10078728"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
78	"10094350"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
79	"10079920"	1	""	"Sedimentation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
80	"10084762"	1	""	"Hydrothermal Process"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
81	"10005738"	1	""	"Enriquecimiento Secundario"	"MRDS migration"	"29-OCT-02"	""	""
82	"10069767"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
83	"10078388"	2	"METAMORPHISM"	""	"WBFERGUS"	"01-JUL-2008 13:55:23"	""	""
84	"10078388"	1	"HYDROTHERMAL"	""	"WBFERGUS"	"01-JUL-2008 13:55:06"	""	""
85	"10030825"	1	""	"Oxidized Zone; Depth 35 Ft. Partly Oridized 15 Ft. Deeper.  Precious - Metal Ore From Oxidized Zone, Best Zinc - Ore Lies Below Oxidized Zone."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
86	"10089620"	1	""	"Precipitation In A Reducing Environment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
87	"10100916"	1	""	"Weathering -- Erosion, Sedimentation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
88	"10069946"	1	""	"Hypothermal; Weathering And Leaching?"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
89	"10093590"	1	""	"Hypogene"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
90	"10011084"	1	""	"Metasomatism."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
91	"10087128"	1	""	"Lake Terrace"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
92	"10080055"	1	""	"Weathering And Lateritization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
93	"10070042"	1	""	"Epithermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
94	"10043964"	1	""	"Hydrothermal Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
95	"10102253"	1	""	"Oxides Derived By Weathering Manganese And Iron Carbonates Dissiminated In Dolomite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
96	"10068924"	1	""	"Along The Bedding, The Skarn Contains Seams Up To 30 Cm. Wide And Also Disseminations Of Oxidized Copper Minerals (Malachite, Azurite, Cuprite); Pyrite, Chalcopyrite Also Have Been Reported."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
97	"10015600"	1	""	"Wave Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
98	"10015348"	1	""	"Fluvial"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
99	"10026745"	1	""	"The Gold Is Derived From The Oxidized Part Of The New Cornelia Ore Body."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
100	"10310001"	1	""	"Evaporation"	"Woodruff, Laurel G."	"02-APR-04"	"Woodruff, Laurel G."	"02-APR-04"
101	"10099333"	1	""	"Primario"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
102	"10048173"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
103	"10098482"	1	""	"Hydrothermal Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
104	"10004082"	1	""	"Supergeno, Secundario (Hidrotermal)"	"MRDS migration"	"29-OCT-02"	""	""
105	"10008067"	1	""	"Hidrotermal"	"MRDS migration"	"29-OCT-02"	""	""
106	"10105717"	1	""	"Gravity Concentration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
107	"10016169"	1	"Redox precipitation"	""	"TKLEIN"	"19-MAY-2008 16:37:35"	""	""
108	"10042646"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
109	"10094922"	1	""	"Primario (Reemplazamiento)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
110	"10046004"	1	""	"Replacement, Contact Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
111	"10111397"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
112	"10104039"	1	""	"Igneous Intrusion, Contact Metamarphism Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
113	"10310582"	1	""	"Mechanical accumulation"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
114	"10037315"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
115	"10070991"	1	""	"Hydrothermal; Secondary Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
116	"10071622"	1	"Hypogene"	"Hypogene"	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"14-DEC-2008 09:01:44"
117	"10048150"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-02"	""	""
118	"10047996"	1	""	"Probably Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
119	"10015214"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
120	"10113726"	1	"Hydrothermal"	""	"CLAANDER"	"30-JUL-09"	""	""
121	"10097397"	1	""	"Laterization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
122	"10067400"	1	""	"Mass Weathering Of Iron Rich Beds"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
123	"10044130"	1	""	"Hydrothrmal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
124	"10046336"	1	""	"Oxidized Near The Surface With Enrichment In Argentiferous Cerussite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
125	"10071631"	1	"Hypogene"	"Hypogene"	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"14-DEC-2008 09:36:40"
126	"10070140"	1	""	"Mesothermal Deposition"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
127	"10011753"	1	""	"Gravity Concentration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
128	"10047381"	1	""	"Magnetite Associated With Deuteric Alteration Of The Lopolithic Complex"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
129	"10080115"	1	""	"Replacement (Titanium Mineralization Post-Emplacement)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
130	"10044785"	1	""	"Oxidation Of Sulfides Above The Water Table"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
131	"10014860"	1	""	"Precipitation From Magmatic And Hydrothermal Solutions In Vein And Skarn Environments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
132	"10048266"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-02"	""	""
133	"10065214"	1	""	"Oxidation, Supergene Mineralization Up To 25 M On Ridges, Creeks Cut Below This Level."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
134	"10078462"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
135	"10015557"	1	""	"Evaporation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
136	"10078071"	1	""	"Related To Intrusion Of Igneous Rocks And Structural Deformation Accompanying Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
137	"10098690"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
138	"10014368"	1	""	"Oxidation To 100 Feet Below Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
139	"10037350"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
140	"10089533"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
141	"10078729"	1	""	"Ground Water Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
142	"10015213"	1	""	"Hydrothermal Fluid"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
143	"10069384"	1	""	"The Ore Is Found At The Junction Of Serpentine And Rhyolite. At A Depth Of 120 Feet, The Main Mass Extends Laterally For 1,000 Square Yards, But At Greater Depths The Iron Content Increases Considerably."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
144	"10086874"	1	""	"Enriquecimiento Secundario"	"MRDS migration"	"29-OCT-02"	""	""
145	"10097973"	1	""	"Fluvial"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
146	"10033095"	1	""	"Magmatic Segregation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
147	"10044784"	1	""	"Oxidation Of Sulfides Above The Water Table"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
148	"10065219"	1	""	"Leached Rock To Depth Of 150 M."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
149	"10054964"	1	""	"La Mena Se Enriquece Por Oxidacion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
150	"10023038"	1	""	"Primario"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
151	"10067676"	1	""	"Sulfide Filling Of Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
152	"10023658"	1	""	"Greenschist Grade Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
153	"10011105"	1	""	"Weathering Action, Stream Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
154	"10027701"	1	""	"Along This Zone The Feldspar Of The Granite Is In Places Completely Sericitized And The Ferro-Magnesian Minerals Are Altered To Chlorite And Epidote.  The Mineralization Has Produced Small Seams And Replacements Of The Sheared Granite By Oxidized Copper Minerals And Disseminated Magnetite, But The Copper Content Is Low."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
155	"10040919"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
156	"10097301"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
157	"10037328"	1	""	"Epithermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
158	"10310695"	1	""	"Open-space filling"	"Surveys and Analysis Project"	"20-FEB-2008 00:00:00"	"Schruben, Paul"	"20-FEB-2008 00:00:00"
159	"10055030"	1	""	"Primario"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
160	"10027658"	1	""	"The Breccia Appears To Represent A Thrust Fault Zone Into Which The Ore-Bearing Solutions Entered From Below Along Transverse Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
161	"10103874"	1	""	"Oxidation To A Depth Of 120 Feet Below Outcrop"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
162	"10071616"	1	"Hypogene"	"Hypogene"	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"14-DEC-2008 08:48:45"
163	"10071612"	1	"Hypogene"	"Hypogene"	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"14-DEC-2008 07:42:00"
164	"10084176"	1	""	"Extreme Hydrothermal Leaching In Paleo-Hotsrping System"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
165	"10310371"	1	""	"hydrothermal replacement; pervasive oxidation"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
166	"10082861"	1	""	"Secondary enrichment by hydrothermal fluids"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
167	"10047204"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
168	"10048359"	1	""	"Mineralization Along Dike In Fault Fissure; Lensing Ore Shoots Are Narrow And Spotty"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
169	"10088065"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
170	"10109847"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
171	"10025400"	1	""	"Hydraulic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
172	"10011457"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
173	"10042560"	1	""	"Gravity Concentration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
174	"10310597"	1	""	"Open space filling, replacement, metasomatism"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
175	"10048358"	1	""	"Replacement Of Rhyolite By Ore Minerals, Concentrated In Lenses And Pockets"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
176	"10023052"	1	""	"Primario"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
177	"10101895"	1	""	"Faults Have Shattered The Veins Causing Secondary Enrichment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
178	"10048488"	1	""	"Magmatic Segregation"	"MRDS migration"	"29-OCT-02"	""	""
179	"10088885"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
180	"10005627"	1	""	"Secundario Por Oxidacion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
181	"10082712"	1	""	"Soft ore  formed during the mid to late Proterozoic and/or possibly as young as the Cretaceous by (1)  interaction of supergene groundwater which caused oxidation of ferrous iron minerals (siderite), (2) leaching of chert and its replacement by secondary hematite and goethite, and (3) removal of large amounts of CO2.  hard ore formed by oxidation of carbonate of iron formation to soft ore during a period of mid-Proterozoic weathering and metamorphism during the Penokean orogeny which caused the soft ore to recrystallize to hard ore."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
182	"10014877"	1	""	"Replacement Of Limestone By Metasomatism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
183	"10003801"	1	""	"Metamorphism, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
184	"10048332"	1	""	"Secondary Enrichment Accompanying Or Following Granitic Intrusions"	"MRDS migration"	"29-OCT-02"	""	""
185	"10012637"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
186	"10046742"	1	""	"Oxidation Of Ore To 150-Ft Depth; Secondary Enriched Zone"	"MRDS migration"	"29-OCT-02"	""	""
187	"10020285"	1	""	"Concentrated In Breccia Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
188	"10038024"	1	""	"Entrapment By Irregularities In Stream Bed Or Deposition In Low-Energy Part Of Stream"	"MRDS migration"	"29-OCT-02"	""	""
189	"10012777"	1	""	"Fluvial Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
190	"10042536"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
191	"10070158"	1	""	"Supergene"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
192	"10014853"	1	""	"Precipitation From Intrusive - Derived Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
193	"10014876"	1	""	"Metasomatism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
194	"10109538"	1	""	"Entrapment By Irregularities In Stream Bed Or Deposition In Low-Energy Part Of Stream"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
195	"10310581"	1	""	"Open-fissure filling"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
196	"10040402"	1	""	"Ascending Hypothermal Solutions In Zones Of Tension"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
197	"10055333"	1	""	"Weathering Of Hydrothermal Veins"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
198	"10041661"	1	""	"Hydrothermal Solution"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
199	"10037106"	1	""	"Supergone Enriched And Oxidized Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
200	"10094376"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
201	"10039464"	1	""	"Replacement During An Early Stage Of Brecciation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
202	"10109072"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
203	"10095796"	1	""	"Primario"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
204	"10004016"	1	""	"Supergenico"	"MRDS migration"	"29-OCT-02"	""	""
205	"10107296"	1	""	"Bedded Deposit"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
206	"10040628"	1	""	"Entrapment By Irregularities In Stream Bed Or Deposition In Low-Energy Part Of Stream"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
207	"10004164"	1	""	"Alteracion Supergenica Poco Desarrollada."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
208	"10040924"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
209	"10079971"	1	""	"Exhalations From Distal Volcanic Vent(S) Produced Sulfides As Submarine Precipitates.  Some Further Concentration Due To Metamorphism And Deformation, With Later Supergene Enrichment Of Copper Ores."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
210	"10013026"	1	""	"Upward Percolation Of Hydrothermal Solutions Under Epithermal Conditions"	"MRDS migration"	"29-OCT-02"	""	""
211	"10079973"	1	""	"Supergene Enrichment.  Sulfides Emplaced Possibly As A Submarine Precipitate Resulting From Exhalations From A Volcanic Vent."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
212	"10015453"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
213	"10011429"	1	""	"Fluvial Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
214	"10088716"	1	""	"Evaporation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
215	"10010672"	1	""	"Stream Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
216	"10040461"	1	""	"Oxidized Near Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
217	"10040820"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
