i	dep_id	rec	group_name	inserted_by	insert_date	updated_by	update_date
79	"10152908"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
80	"10152925"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
81	"10152947"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
82	"10152952"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
83	"10153304"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
84	"10153603"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
85	"10153639"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
86	"10153707"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
87	"10070596"	1	"pbzn"	"pschrube"	"26-AUG-09"	""	""
88	"10176925"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
89	"10176953"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
90	"10177013"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
91	"10177261"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
92	"10177262"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
93	"10177299"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
94	"10177397"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
95	"10177484"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
96	"10183108"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
97	"10200430"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
98	"10019721"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
99	"10019902"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
100	"10099365"	1	"National Assessment Copper"	"DCAUSEY"	"23-APR-09"	""	""
101	"10137553"	1	"National Assessment Porphyry Copper"	"CLAANDER"	"16-JUL-09"	"WHERAN"	"25-NOV-09"
102	"10119519"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
103	"10119635"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
104	"10119647"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
105	"10119724"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
106	"10120130"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
107	"10143655"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
108	"10143793"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
109	"10143808"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
110	"10193174"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
111	"10216630"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
112	"10216731"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
113	"10217115"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
114	"10241087"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
115	"10241427"	2	"Significant Deposit - Phosphate"	"DCAUSEY"	"27-OCT-10"	""	""
116	"10265360"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"28-APR-09"	""	""
117	"10265537"	2	"Significant Deposit - Phosphate"	"DCAUSEY"	"27-OCT-10"	""	""
118	"10265661"	2	"Significant Deposit - Phosphate"	"DCAUSEY"	"27-OCT-10"	""	""
119	"10289725"	2	"Significant Deposit - Phosphate"	"DCAUSEY"	"27-OCT-10"	""	""
120	"10097315"	1	"National Assessment Copper"	"DCAUSEY"	"19-MAY-09"	"DCAUSEY"	"20-MAY-09"
121	"10290208"	1	"National Assessment Phosphorus-Phosphates"	"WBFERGUS"	"29-APR-09"	""	""
122	"10162257"	1	"National Assessment Porphyry Copper"	"CLAANDER"	"03-AUG-09"	"CLAANDER"	"01-DEC-09"
123	"10209543"	1	"National Assessment Porphyry Copper"	"WHERAN"	"05-AUG-09"	"WHERAN"	"12-NOV-09"
124	"10052567"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
125	"10052644"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
126	"10052679"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
127	"10052869"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
128	"10053127"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
129	"10053310"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
130	"10053324"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
131	"10217539"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
132	"10217588"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
133	"10231621"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
134	"10241565"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
135	"10242172"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
136	"10265253"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
137	"10265337"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
138	"10265480"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
139	"10266184"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
140	"10266333"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
141	"10266647"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
142	"10289716"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
143	"10289874"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
144	"10290194"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
145	"10291025"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
146	"10008953"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
147	"10008970"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
148	"10008985"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
149	"10008987"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
150	"10010272"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
151	"10310402"	2	"National Assessment Porphyry Copper"	"WHERAN"	"21-JAN-10"	""	""
152	"10310403"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
153	"10310404"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
154	"10310405"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
155	"10310406"	1	"psCANV"	"PSCHRUBE"	"03-DEC-07"	""	""
156	"10310407"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
157	"10310408"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
158	"10310409"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
159	"10310410"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
160	"10310411"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
161	"10310412"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
162	"10310413"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
163	"10310414"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
164	"10310415"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
165	"10310416"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
166	"10310417"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
167	"10168426"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
168	"10168557"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
169	"10168774"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
170	"10168996"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
171	"10169193"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
172	"10191726"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
173	"10191987"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
174	"10192632"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
175	"10192666"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
176	"10192975"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
177	"10193063"	2	"National Assessment Copper"	"DCAUSEY"	"23-JUL-09"	""	""
178	"10193761"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
179	"10193922"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
180	"10216689"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
181	"10217536"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
182	"10310499"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
183	"10310500"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
184	"10310501"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
185	"10310502"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
186	"10310503"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
187	"10310504"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
188	"10310505"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
189	"10310506"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
190	"10310507"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
191	"10310508"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
192	"10310509"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
193	"10310510"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
194	"10310511"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
195	"10310512"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
196	"10310513"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
197	"10310514"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
198	"10310515"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
199	"10310516"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
200	"10310517"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
201	"10310518"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
202	"10310519"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
203	"10310520"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
204	"10310546"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
205	"10310547"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
206	"10310549"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
207	"10310550"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
208	"10310551"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
209	"10310552"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
210	"10310553"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
211	"10310640"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
212	"10148908"	3	"THE SEVEN-UP PETE JOINT VENTURE INCLUDES THE SEVEN-UP PETE GOLD DEPOSIT, THE MCDONALD GOLD DEPOSIT "	"WHERAN"	"16-FEB-07"	""	""
213	"10148908"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"16-FEB-07"	""	""
214	"10090077"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"16-FEB-07"	""	""
215	"10090077"	2	"Includes Golden Leaf Group, Bannack Mines and Hendricks-Graeter Mine"	"WHERAN"	"16-FEB-07"	""	""
216	"10221224"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"14-FEB-07"	""	""
217	"10245632"	2	"Includes Mineral Hill Tvx and Crevice Mtn. Mine"	"WHERAN"	"16-FEB-07"	""	""
218	"10245632"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"16-FEB-07"	""	""
219	"10148908"	2	"Includes Seven-Up Pete Creek and Mcdonald Meadows"	"WHERAN"	"16-FEB-07"	""	""
220	"10245976"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"24-JAN-07"	""	""
221	"10124596"	2	"Includes Zortman-Landusky Mine and Landusky"	"WHERAN"	"16-FEB-07"	""	""
222	"10019691"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"01-MAR-07"	""	""
223	"10196576"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"21-MAR-07"	""	""
224	"10008972"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"04-APR-07"	""	""
225	"10042800"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"19-APR-07"	""	""
226	"10042800"	2	"Includes Deposit ID 10008099 (Elkhorn Mine)"	"WHERAN"	"19-APR-07"	""	""
227	"10042800"	3	"Includes Deposit ID 10069273 (Elkhorn Jefferson Co.)"	"WHERAN"	"19-APR-07"	""	""
228	"10042800"	4	"Includes Deposit ID 10048811 (Elkhorn)"	"WHERAN"	"19-APR-07"	""	""
229	"10042800"	5	"Includes Deposit ID 10269978 (Elkhorn)"	"WHERAN"	"19-APR-07"	""	""
230	"10042800"	6	"Includes Deposit ID 10245604 (Elkhorn Mine)"	"WHERAN"	"19-APR-07"	""	""
231	"10042800"	7	"Includes Deposit ID 10008981 (Elkhorn)"	"WHERAN"	"19-APR-07"	""	""
232	"10071337"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"24-APR-07"	""	""
233	"10071337"	2	"Includes Deposit ID 10196506 (Hope Group)"	"WHERAN"	"24-APR-07"	""	""
234	"10310653"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
235	"10019512"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"19-JUL-07"	""	""
236	"10019512"	2	"Includes Deposit ID 10196911 (Mayflower)"	"WHERAN"	"19-JUL-07"	""	""
237	"10019512"	3	"Includes Deposit ID 10101989 (West Mayflower Mine)"	"WHERAN"	"19-JUL-07"	""	""
238	"10019512"	4	"Includes Deposit ID 10070493 (Mayflower Mine)"	"WHERAN"	"19-JUL-07"	""	""
239	"10071364"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"25-JUL-07"	""	""
240	"10310587"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
241	"10310588"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
242	"10310589"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
243	"10310590"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
244	"10310591"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
245	"10310592"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
246	"10310593"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
247	"10310594"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
248	"10310595"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
249	"10310596"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
250	"10310597"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
251	"10310598"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
252	"10310599"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
253	"10310600"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
254	"10310601"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
255	"10310602"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
256	"10310603"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
257	"10310604"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
258	"10310605"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
259	"10310606"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
260	"10310607"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
261	"10310608"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
262	"10310609"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
263	"10310610"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
264	"10310611"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
265	"10310612"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
266	"10310613"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
267	"10310614"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
268	"10310615"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
269	"10310616"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
270	"10310617"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
271	"10310618"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
272	"10310619"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
273	"10310620"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
274	"10310621"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
275	"10310622"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
276	"10022811"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
277	"10022882"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
278	"10048810"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
279	"10048813"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
280	"10048814"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
281	"10071334"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
282	"10071375"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
283	"10090783"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
284	"10094284"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
285	"10094293"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
286	"10094297"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
287	"10094314"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
288	"10094763"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
289	"10096917"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
290	"10097870"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
291	"10107704"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
292	"10107915"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
293	"10123478"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
294	"10123524"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
295	"10048815"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"06-JUN-07"	""	""
