i	dep_id	line	tect_set	tect_set_text	inserted_by	insert_date	updated_by	update_date
89	"10014116"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
90	"10004373"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
91	"10013979"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
92	"10047394"	1	""	"Mobile Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
93	"10072521"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
94	"10078834"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
95	"10103739"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
96	"10079524"	1	""	"The Sediments Lie Monoclinically Gently Dipping Towards The Sea"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
97	"10024199"	1	""	"Puna"	"MRDS migration"	"29-OCT-02"	""	""
98	"10087762"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
99	"10111259"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
100	"10014407"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
101	"10072658"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
102	"10005434"	1	""	"Puna"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
103	"10095976"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
104	"10012935"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-02"	""	""
105	"10055107"	1	""	"Basin And Range- Colorado Plateau Transition Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
106	"10088800"	1	""	"Basin And Range-Colorado Plateau Transition Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
107	"10055386"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
108	"10015106"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
109	"10013158"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
110	"10094557"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
111	"10090916"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
112	"10013168"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
113	"10015600"	1	""	"Basin & Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
114	"10019728"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
115	"10021659"	1	""	"Quartz Veins Cut Folded Permo-Carboniferous Sedimentary Rocks Above A Suspected Late Cretaceous-Early Tertiary Granite Pluton"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
116	"10015735"	1	""	"Basin & Range Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
117	"10089569"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
118	"10310695"	1	""	"Magmatic arc"	"Surveys and Analysis Project"	"20-FEB-2008 00:00:00"	"Schruben, Paul"	"20-FEB-2008 00:00:00"
119	"10310001"	1	"Interior Basin"	""	"Woodruff, Laurel G."	"02-APR-04"	""	""
120	"10078552"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
121	"10033402"	1	""	"Accreted Oceanic Stock"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
122	"10062991"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
123	"10069946"	1	""	"Miogeosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
124	"10055964"	1	""	"Newby Group Rocks Were Probably Deposited Along Or Proximal To An Island Arc."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
125	"10307224"	1	""	"Northern Volcanic Belt"	"woodruff"	"12-OCT-04"	""	""
126	"10014562"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-02"	""	""
127	"10071349"	1	""	"Cordilleran Miogeosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
128	"10078411"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
129	"10013805"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
130	"10067676"	1	""	"Piedmont"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
131	"10023658"	1	""	"Passive Continental Margin (Mprot); Rio Grande Intracontinental Rift (Today)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
132	"10072526"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
133	"10105170"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
134	"10089533"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
135	"10094350"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
136	"10082838"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-04"	""	""
137	"10111483"	1	""	"Walker Lane"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
138	"10024498"	1	""	"Arch Greenstone Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
139	"10069212"	1	""	"Archean Greenstone Belt, Yilgarn Block"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
140	"10005358"	1	""	"Puna"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
141	"10101829"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
142	"10100222"	1	""	"Valley And Ridge"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
143	"10020043"	1	""	"Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
144	"10090914"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
145	"10013155"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
146	"10013156"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
147	"10013167"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
148	"10013169"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
149	"10013164"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
150	"10011155"	1	""	"Basin & Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
151	"10015348"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
152	"10078388"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
153	"10027169"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
154	"10089620"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
155	"10079563"	1	""	"Coosa Block"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
156	"10047728"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
157	"10001344"	1	""	"Mansfield Sub Belt, Brew And Ford, Usgs Ofr 85-395, P. 10"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
158	"10072662"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
159	"10098482"	1	""	"Geosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
160	"10047951"	1	""	"Active Margin (Leading Edge Of North American Plate)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
161	"10024844"	1	""	"Geosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
162	"10107376"	1	""	"Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
163	"10024811"	1	""	"Intracratonic"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
164	"10084762"	1	""	"4"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
165	"10010689"	1	""	"Basin And Range/Cordilleran Geosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
166	"10072661"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
167	"10061353"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
168	"10111545"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
169	"10005738"	1	""	"Fallas Con Rumbo General N-W, Batolito De La Costa."	"MRDS migration"	"29-OCT-02"	""	""
170	"10096120"	1	""	"Andes"	"MRDS migration"	"29-OCT-02"	""	""
171	"10096168"	1	""	"Andean Cordillera And Batholith"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
172	"10090122"	1	""	"Central Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
173	"10013152"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
174	"10013153"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
175	"10013154"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
176	"10013157"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
177	"10013159"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
178	"10090915"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
179	"10013165"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
180	"10088153"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
181	"10097973"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
182	"10011968"	1	""	"Southern Black Hills"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
183	"10013761"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
184	"10069767"	1	""	"Medicine Lodge Thrust System"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
185	"10400565"	1	"thrust sheet - Kalukundi Sheet"	""	"DCAUSEY"	"06-JUN-11"	""	""
186	"10056762"	1	""	"Greenstone Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
187	"10009764"	1	"Sawatch Range, Colorado mineral belt"	""	"Surveys and Analysis Project"	"01-NOV-2007 00:00:00"	"Schruben, Paul"	"01-NOV-2007 00:00:00"
188	"10072522"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
189	"10078728"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
190	"10077520"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
191	"10310095"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
192	"10094776"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
193	"10068924"	1	""	"Andean Cordillera"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
194	"10086874"	1	""	"Batolito De La Costa."	"MRDS migration"	"29-OCT-02"	""	""
195	"10082845"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
196	"10099571"	1	""	"Andes"	"MRDS migration"	"29-OCT-02"	""	""
197	"10012881"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
198	"10013151"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
199	"10013161"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
200	"10013162"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
201	"10013163"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
202	"10090917"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
203	"10015349"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
204	"10033095"	1	""	"Ochoco-Blue Mountains"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
205	"10072523"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
206	"10039619"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
207	"10036738"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
208	"10055824"	1	""	"Paleozoic Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
209	"10013965"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
210	"10036809"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
211	"10079481"	1	""	"Coosa Block"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
212	"10079461"	1	""	"Tallapoosa Block"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
213	"10017759"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
214	"10031437"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
215	"10100966"	1	""	"Gravina Belt; Berg, Et. Al., 1978, Usgs Ofr 78-1085"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
216	"10094553"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
217	"10080206"	1	""	"Miogeosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
218	"10047730"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
219	"10072666"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
220	"10012777"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
221	"10024893"	1	""	"Perth Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
222	"10097447"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
223	"10039550"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
224	"10082609"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
225	"10082861"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
226	"10015341"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
227	"10091016"	1	"South Park"	""	"Surveys and Analysis Project"	"01-NOV-07"	"Schruben, Paul"	"01-NOV-07"
228	"10310582"	1	""	"Magmatic arc"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
229	"10047731"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
230	"10014704"	1	""	"Chaco Slope"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
231	"10048359"	1	""	"Corral Canyon Fault Block; Downthrow To Sw (Simons, F.S.,1974)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
232	"10089196"	1	""	"Cordilleran Miogeosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
233	"10097990"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
234	"10088744"	1	""	"Uinta Arch"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
235	"10014853"	1	""	"Basin And Range - Colorado Plateau Transition Zone, Cordilleran Hinge Line, Sevier Overthrust Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
236	"10014876"	1	""	"Basin And Range-Colorado Plateau Transition Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
237	"10107133"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
238	"10078530"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
239	"10109538"	1	""	"Sierra Nevada Foothills Accreted Terrane"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
240	"10060571"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
241	"10060565"	1	""	"Guayana Shield"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
