i	dep_id	line	ore_ctrl	ore_ctrl_text	inserted_by	insert_date	updated_by	update_date
33	"10089972"	1	""	"Ore Lies Along Northwest Limb Of Asyncline Trending N 45 E"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
34	"10011594"	1	""	"Mineralized Solutions Rose Along Faults And Localized As Fissure-Fillings."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
35	"10090119"	1	""	"Fracturing, Faulting, Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
36	"10079182"	1	""	"Near Contact Of Granite Unit And Mafic Volcanics Unit"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
37	"10009834"	1	""	"Uranium Minerals Occur In A Felsic Sill That Intrudes Altered Mafic Volcanic Rocks Close To A Major Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
38	"10027576"	1	""	"Faulting, Shearing, Igneous Activity - Dikes"	"MRDS migration"	"29-OCT-02"	""	""
39	"10026967"	1	""	"Beneath Bedding Plane Faults And Associated With Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
40	"10096534"	1	""	"Gabbro-Dykes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
41	"10057844"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
42	"10005772"	1	""	"Cuerpo Principal Con Rumbo N 75 W."	"MRDS migration"	"29-OCT-02"	""	""
43	"10013828"	1	""	"Between N-Trending Faults;"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
44	"10071734"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
45	"10069661"	1	""	"Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
46	"10070042"	1	""	"Faults"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
47	"10011292"	1	""	"Lake Bar"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
48	"10037392"	1	""	"Fault Zone (?); Brecciation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
49	"10070107"	1	""	"Shear Zones, Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
50	"10080433"	1	""	"Oxidation-Reduction Boundary"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
51	"10045276"	1	""	"Brecciated Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
52	"10000816"	1	""	"Fracture Control"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
53	"10008896"	1	""	"Quartz In Fracture Zone."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
54	"10027516"	1	""	"Ore Bodies Occur In Units Showing Most Rapid Variation In Thickness"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
55	"10044268"	1	""	"No Information"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
56	"10013783"	1	""	"Greisenized Rocks; Ore Generally Localized By Fissures, Contacts, Favorable Rock Units; In The China Wall Area All Ore Seems To Be At Contact Of Silver Plume (?) Granite And Redskin Granite"	"MRDS migration"	"29-OCT-02"	""	""
57	"10011084"	1	""	"Favorable Limestone Beds Along Igneous Contact."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
58	"10088016"	1	""	"Paleochannel"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
59	"10047268"	1	""	"N 30 E Shear Zone; Shale-Diorite Contact"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
60	"10011189"	1	""	"Faulting & Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
61	"10073189"	1	""	"Fractures, Bedding"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
62	"10013203"	1	""	"Deposition Controlled By Ground Water Flow Conditions And Carbonaceous Material With Associated Pyrite. Flow Was Impeded By The Fault On The Southern End Of The Echo Park Graben."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
63	"10111462"	1	""	"Fault Or Shear Zone Possible"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
64	"10011085"	1	""	"Lacustrine"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
65	"10080022"	1	""	"Shear Zones (Veins In Area Strike N 5-10 Deg E)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
66	"10022054"	1	""	"Reducing Environment, Stratigraphic"	"MRDS migration"	"29-OCT-02"	""	""
67	"10044883"	1	""	"Stratigraphic In Limestone, Chert, Shale"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
68	"10102504"	1	""	"Ore Bodies Occur In Units Showing Most Rapid Variation In Thickness"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
69	"10020292"	1	""	"Ore Deposits Are Located In Veins & Carbonate Replacements Near Contact Zones Of Intrusive"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
70	"10086926"	1	""	"Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
71	"10005526"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
72	"10082635"	1	""	"Open space fillings and replacements in amygdaloidal flow tops"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
73	"10079022"	1	""	"Paleochannels"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
74	"10005673"	1	""	"Estratigrafico"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
75	"10044185"	1	""	"Along A Partly Silicified Fault Zone."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
76	"10027062"	1	""	"Au Associated With Fine Grained Grayish Quartz In Silicified Breccia Zones."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
77	"10101599"	1	""	"Lacustrine"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
78	"10046394"	1	""	"Bedding; Yuba Dike Was Encountered In These Workings"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
79	"10080055"	1	""	"Pyrite Seams In Phyllite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
80	"10094548"	1	""	"Wall Rock Control"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
81	"10078881"	1	""	"Near Contact Of Metamorphic Rock Units; Ore In Talcose Schists"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
82	"10022133"	1	""	"Reducing Environment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
83	"10013202"	1	""	"Carbonaceous Material"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
84	"10079511"	1	""	"Lens Shaped Beds Within Sandy Sediments"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
85	"10037206"	1	""	"Breccia Zone Permeability"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
86	"10043978"	1	""	"Shear Zone 6 Inches Wide"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
87	"10067373"	1	""	"Iron Rich Limestone Bed"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
88	"10097783"	1	""	"Fault-Fracture Structural Control."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
89	"10101935"	1	""	"Fault Zone In Quartz Monzonite"	"MRDS migration"	"29-OCT-02"	""	""
90	"10014407"	1	""	"Ne-Trending Veins And Ne-And Nw-Trending Faults Cutting Metamorphics"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
91	"10046704"	1	""	"Caldera Ring Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
92	"10010824"	1	""	"Contact Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
93	"10014368"	1	""	"Fault Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
94	"10023147"	1	""	"Estructurales: Por Relleno De Fisuras"	"MRDS migration"	"29-OCT-02"	""	""
95	"10088472"	1	""	"Estructural (Por Relleno De Fisuras)"	"MRDS migration"	"29-OCT-02"	""	""
96	"10096204"	1	""	"Zone Of Parallel Fracturing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
97	"10055107"	1	""	"Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
98	"10088800"	1	""	"Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
99	"10102253"	1	""	"Residual Clays Over Shady Dolomite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
100	"10048325"	1	""	"Ne Trending Veins"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
101	"10047559"	1	""	"Fault Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
102	"10097170"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
103	"10310541"	1	""	"A northwesterly-trending fault is the main feeder structure for mineralizing fluids. Wider, thicker, and higher grade portions of the orebody occur at intersections of this main feeder zone with northwest-striking high-angle normal faults. Thin-bedded silty limestones are a lithologic control of gold deposition."	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
104	"10077520"	1	""	"Intersection Between Rhyolite - Metasedimentary Contact And A Series Of Steeply Dipping Strike Faults."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
105	"10069893"	1	""	"Breccia Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
106	"10095657"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
107	"10071955"	1	""	"Complex Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
108	"10019909"	1	""	"Limestone Member, Fault Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
109	"10041435"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
110	"10092748"	1	""	"Stratabound"	"MRDS migration"	"29-OCT-02"	""	""
111	"10022048"	1	""	"Reducing Environment, Stratigraphic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
112	"10103556"	1	""	"Limestone Permeability"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
113	"10102458"	1	""	"Vein Occupies A Fault Zone That Strikes S23e And Dips 70ne"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
114	"10104001"	1	""	"Brecciated Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
115	"10025906"	1	""	"Magmatic Crystallization Processes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
116	"10004262"	1	""	"Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
117	"10043964"	1	""	"N-Trending Fault Zone Containing Crown Vein"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
118	"10310487"	1	""	"north-trending fault zone containing the Crown vein"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
119	"10055963"	1	""	"A Vein About 5 Feet Wide In Slate Was Said To Carry Good Values In Gold And Silver (Huntting, 1956, P. 135)."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
120	"10088795"	1	""	"Bedding"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
121	"10043420"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
122	"10085867"	1	""	"Svintsov Fault  Is Associated With The Main Ore Zone Of Adrasman, And The Kontor And Chukur-Dzhilga Zones, Which Are Confined To Faults Of The Same Name"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
123	"10042567"	1	""	"Quartz Veins"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
124	"10037350"	1	""	"Fracture Intersection; Brecciation Of Quartzite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
125	"10092612"	1	""	"Pegmatite Bands"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
126	"10025073"	1	""	"Litologico"	"MRDS migration"	"29-OCT-02"	""	""
127	"10104605"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
128	"10032540"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
129	"10088096"	1	""	"Carbon Trash In Sedimentary Channel"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
130	"10095831"	1	""	"Limestone-Granite Contact"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
131	"10004213"	1	""	"System Of Fractures, Dikes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
132	"10069425"	1	""	"Downthrown Side Of Faulted Contact Between Rhyolite Dike And Intensely Brecciated Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
133	"10049247"	1	""	"Fracture Controlled."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
134	"10070222"	1	""	"Contact Between Metamorphic Rocks And Andesite Flows"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
135	"10068907"	1	""	"Faulting."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
136	"60001167"	1	"Lithology"	"LITHOLOGY"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
137	"10069847"	1	""	"Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
138	"10071401"	1	""	"Plant Remains Mostly Logs, Paleochannels"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
139	"10080339"	1	""	"Faults And Shear Zones"	"MRDS migration"	"29-OCT-02"	""	""
140	"10083051"	1	""	"Faulting"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
141	"10015371"	1	""	"Stream Channels"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
142	"10042310"	1	""	"River Terrace"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
143	"10042191"	1	""	"Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
144	"10104792"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
145	"10055467"	1	""	"Ore Is Along The Main Mineralized Fracture In The District.  It Trends North 85 Deg. West And Can Be Traced At Least 823 M. On The Surface."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
146	"10042282"	1	""	"Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
147	"10020029"	1	""	"N15e 70 Nw Fissure"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
148	"10000502"	1	""	"Cu-Ni-Co Mineralization Concentrated In Olivine-Hornblende Gabbro In Keel Of Gabbro Pipe"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
149	"10103818"	1	""	"Local Fissures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
150	"10025064"	1	""	"Fracturas"	"MRDS migration"	"29-OCT-02"	""	""
151	"10094350"	1	""	"Fracturing & Faulting"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
152	"10082838"	1	""	"Fissure"	"Woodruff, Laurel G."	"02-APR-04"	"Woodruff, Laurel G."	"02-APR-04"
153	"10111483"	1	""	"Multiple Intrusions Causing Contact Metamorphism.  Possible Magmatic Differentiation With Higher Chalcophile Metals In Gabbro Than In Surrounding Felsic Intrusives."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
154	"10010759"	1	""	"Tactite Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
155	"10043035"	1	""	"Contact Of Serpentine With Greenstone, Schist, Sandstone, Or Dacite Porphyry Within 200 Yards Of The Deposits."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
156	"10004836"	1	""	"Contact Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
157	"10013364"	1	""	"Faults, Fault Intersections; Shear Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
158	"10088174"	1	""	"Debris Slope"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
159	"10097177"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
160	"10055860"	1	""	"Mineralization Is In 4-6ft. Wide Quartz Veins In Schist. The Ore Occurs As Lenses In Three Of The Exposed Veins. One Ore Shoot Is 50ft. Long; Another Is 100ft. Long (Huntting, 1956, P. 51)."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
161	"10042364"	1	""	"East - Trending Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
162	"10042351"	1	""	"Parallels Bedding"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
163	"10106199"	1	""	"Concentrated in shoots (stratigraphic in amygdaloid or fissure related)."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
164	"10011030"	1	""	"Fracturing"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
165	"10014076"	1	""	"Metalliferous Veins Controlled By Regional Rectangular Fracture System In Granites And By Local Radial Fracture System Associated With Emplacement Of Chicago Basin Stock."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
166	"10015213"	1	""	"Vein Filling"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
167	"10025059"	1	""	"Contacto Litologico"	"MRDS migration"	"29-OCT-02"	""	""
168	"10107376"	1	""	"Gentle Uplift Of Continental Mass; Erosion; Peneplanation; Folding; Faulting; Volcanicity; Dike Injection And Buildup Of Younger Sediments."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
169	"10084762"	1	""	"Tectonic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
170	"10010689"	1	""	"Miogeosyncline"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
171	"10072200"	1	""	"Fault-Fracture Structural Control."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
172	"10005738"	1	""	"Zonas De Fracturamiento Intenso Del Skarn, Fallas Pre-Intrusivo Con Rumbo N 65-70 E."	"MRDS migration"	"29-OCT-02"	""	""
173	"10055029"	1	""	"Control Estructural: La Mineralizacion Esta Emplazada En Las Fracturas"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
174	"10039629"	1	""	"Fractured And Metamorphosed Limestone, At Or Near Granite Contact"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
175	"10086874"	1	""	"Contacto Entre Las Calizas Y El Intrusivo Dioritico"	"MRDS migration"	"29-OCT-02"	""	""
176	"10082845"	1	""	"Lode"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
177	"10073088"	1	""	"Associated With Rhyolite Domes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
178	"10013151"	1	""	"Organic Material Or Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
179	"10013161"	1	""	"Organic Materials Or Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
180	"10013162"	1	""	"Organic Material Or Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
181	"10013163"	1	""	"Organic Materials Or Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
182	"10090917"	1	""	"Organic Material Or Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
183	"10015349"	1	""	"Stream Channel"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
184	"10079768"	1	""	"Stream Channel"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
185	"10033095"	1	""	"En Echelon In Narrow Dunite Zone In Peridotite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
186	"10102061"	1	""	"Vein Parallels Trend Of Schistosity."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
187	"10039619"	1	""	"Main Vein Occupies A Contact Fissure Between Quartzite And Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
188	"10040029"	1	""	"Contact Of Sandstone - Chert Beds Serves As Locus For Manganese Deposit, Which Forms A Layer Up To 2 M Thick"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
189	"10073089"	1	""	"Normal Faults And Tension Cracks"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
190	"10042678"	1	""	"Contact"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
191	"10013272"	1	""	"Fault-Fracture Structural Control."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
192	"10070101"	1	""	"Fractures, Contact Of Quartz Diorite And Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
193	"10027658"	1	""	"The Ore Deposit, Which Occurs Within A Gently Southward Dipping Brecciated Zone That Due To Flattening Southward From The Collar Of Shaft, Is Only A Few Feet Below The Surface"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
194	"10013158"	1	""	"Organic Materials Or Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
195	"10094557"	1	""	"Organic Material Or Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
196	"10090916"	1	""	"Organic Materials And Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
197	"10013168"	1	""	"Organic Material Or Other Reductants"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
198	"10015600"	1	""	"Lacustrine Bar"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
199	"10012971"	1	""	"Calcareous Shales Adjacent To The Porphyry Were Mineralized."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
200	"10044156"	1	""	"Control By Northwest - Trending Lineaments (?).  Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
201	"10071900"	1	""	"Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
202	"10105659"	1	""	"Shear Zone, Fracture"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
203	"10027143"	1	""	"Stringers Along Fissure Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
204	"10015735"	1	""	"Vertical Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
205	"10089569"	1	""	"Paleochannel"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
206	"10026276"	1	""	"Bedding"	"MRDS migration"	"29-OCT-02"	""	""
207	"10100916"	1	""	"River Channel"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
208	"10310695"	1	""	"Quartz veins fill fractures developed in quartz diorite"	"Surveys and Analysis Project"	"20-FEB-2008 00:00:00"	"Schruben, Paul"	"20-FEB-2008 00:00:00"
209	"10107930"	1	""	"Fissure Vein."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
210	"10106945"	1	""	"Veins"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
211	"10049852"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
212	"10069946"	1	""	"Faulting"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
213	"10027684"	1	""	"Manganese-Bearing Fractures Range From Fraction Of An Inch To Several Inches Wide,  The Podlike Masses Are Occasionally Several Feet In Diameter."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
214	"10000298"	1	""	"Vein Is Contained Within A Fault Zone"	"MRDS migration"	"29-OCT-02"	""	""
215	"10105469"	1	""	"Intrusive Granite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
216	"10067475"	1	""	"River Valley"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
217	"10042733"	1	""	"Contact"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
218	"10059728"	1	""	"Barite, Calcite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
219	"10101829"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
220	"10005881"	1	""	"Preferred Bed Under Impermeable Shale Horizon"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
221	"10100222"	1	""	"Stratigraphic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
