i	dep_id	line	alt_type	alterat	alterat_text	inserted_by	insert_date	updated_by	update_date
25	"10104445"	1	"L"	""	"Silicic, Sericitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
26	"10310540"	1	"L"	""	"OXIDATION DUE TO SUPERGENE ALTERATION; STRONG PROPYLITIZATION; LOCAL ARGILLIZATION AND SILICIFICATION"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
27	"10099334"	1	"L"	""	"Limonitizacion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
28	"10095793"	1	"L"	""	"Hipogena"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
29	"10079022"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
30	"10027576"	1	"L"	""	"Minor To None"	"MRDS migration"	"29-OCT-02"	""	""
31	"10098585"	1	"L"	""	"Silicified"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
32	"10013202"	1	"L"	""	"Oxidation; Alteration Of Feldspar To Clay"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
33	"10079492"	1	"L"	""	"Into Malachite And Chrysocolla"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
34	"10057844"	1	"L"	""	"Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
35	"10058599"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
36	"10005772"	1	"L"	""	"Hidrotermal."	"MRDS migration"	"29-OCT-02"	""	""
37	"10087762"	1	"L"	""	"Oxidized To Reddish, Yellowish, Or Red-Brown Color"	"Surveys and Analysis Project"	"01-NOV-2007 00:00:00"	"Schruben, Paul"	"01-NOV-2007 00:00:00"
38	"10082711"	1	"L"	""	"Some magnetite formed by replacement of ferrous iron minerals during diagenesis and most iron silicate probably formed by metamorphism of an early silicate mineral."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
39	"10027605"	1	"L"	""	"In Places, The Granite Porphyry Is Silicified And Marked By Copper Stain"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
40	"10014368"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
41	"10088795"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
42	"10048325"	1	"L"	""	"Andesite In Veins Largely Replaced By Vein Minerals"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
43	"10042567"	1	"L"	""	"Sericitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
44	"10015213"	1	"L"	""	"Alunitization, Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
45	"10020292"	1	"L"	""	"Contact Metamorphism & Assoc. Minerals"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
46	"10058076"	1	"L"	""	"Argillic, Silicic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
47	"10011594"	1	"L"	""	"Propylitized Andesite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
48	"10308546"	1	""	""	"Mineralization occurs within heavily Fe-stained, quartz-filled greisen zones of variable width (3 inch average).  Phyllic and argillic alteration is present along vein margins and is also controllled by fractures (Bakke, 1991)."	"ARDF migration"	"06-OCT-2003 00:00:00"	""	""
49	"10013783"	1	"L"	""	"Greisenization"	"MRDS migration"	"29-OCT-02"	""	""
50	"10088016"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
51	"10007794"	1	"L"	""	"Ore Consists Of Massive And Altered, Or Laterized, Chromite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
52	"10026950"	1	"L"	""	"Surface Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
53	"10007793"	1	"L"	""	"Ore Consists Of Massive And Altered, Or Laterized, Chromite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
54	"10007792"	1	"L"	""	"Ore Consists Of Massive And Altered, Or Laterized, Chromite.  Fe Oxides Are Abundant In The Altered Chromite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
55	"10096169"	1	"L"	""	"Laterization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
56	"10023439"	1	"L"	""	"Serpentinization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
57	"10013828"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
58	"10111259"	1	"L"	""	"Serpentinization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
59	"10104001"	1	"L"	""	"Strongly Altered Shale"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
60	"10025906"	1	"L"	""	"Serpentinization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
61	"10014288"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-02"	""	""
62	"10055107"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
63	"10042282"	1	"L"	""	"Argillization, Partial Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
64	"10043420"	1	"L"	""	"Serpentinzation Of Dunite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
65	"10047559"	1	"L"	""	"Hot Spring, Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
66	"10107376"	1	"L"	""	"None"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
67	"10070107"	1	"L"	""	"Silicification, Epidotization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
68	"10098369"	1	"L"	""	"Silicification Of Conglomerateof The Dunlap Formation."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
69	"10044268"	1	"L"	""	"Argillized And Sericitized Shear Zone."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
70	"10089626"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
71	"10007795"	1	"L"	""	"Ore Consists Of Massive And Altered, Or Laterized, Chromite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
72	"10055559"	1	"L"	""	"All Minerals Are Iron Stained"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
73	"10013203"	1	"L"	""	"Oxidation; Alteration Of Feldspar To Clay;"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
74	"10002247"	1	"L"	""	"Gougy (clay-rich?) material reported along vein-fissures."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
75	"10070222"	1	"L"	""	"Secondary Copper Enrichment In The Sulfides."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
76	"10058212"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
77	"10097783"	1	"L"	""	"Silicification And Propylitization."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
78	"10013364"	1	"L"	""	"Altered Biotite Gneisses; Kaolinization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
79	"10102458"	1	"L"	""	"Iron Stained Gouge"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
80	"10310487"	1	"L"	""	"silicification"	"Surveys and Analysis Project"	"01-SEP-07"	"Schruben, Paul"	"01-SEP-07"
81	"10088472"	1	"L"	""	"Hidrotermal: Caolinizacion, Silicificacion, Piritizacion Y  Propilitizacion"	"MRDS migration"	"29-OCT-02"	""	""
82	"10069893"	1	"L"	""	"Upper Levels Oxidized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
83	"10005988"	1	"L"	""	"Propylitic, Sericitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
84	"10005738"	1	"L"	""	"Oxidacion, Alteracion Hidrotermal."	"MRDS migration"	"29-OCT-02"	""	""
85	"10069767"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
86	"10102061"	1	"L"	""	"Breccia, Gouge, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
87	"10104646"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
88	"10057953"	1	"L"	""	"Argillic, Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
89	"10056296"	1	"L"	""	"Hidrotermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
90	"10044281"	1	"L"	""	"The Host Rock Is Bleached And Argillized."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
91	"10039723"	1	"L"	""	"Qtz-Ser-Pyr"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
92	"10040319"	1	"L"	""	"The Welded Tuff Is Argillized And Partly Silicified."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
93	"10073189"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
94	"10001755"	1	"L"	""	"Alteration types include severe silicification and leaching of the hypabyssal intrusive (Singer and others, 1976)."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 16:17:10"
95	"10104635"	1	"L"	""	"Phyllic, Argillic, Silicic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
96	"10000675"	1	"L"	""	"Quartz, sericite, and pyrite alteration of host phyllite and small silicic dike."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
97	"10069847"	1	"L"	""	"Fe Stains"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
98	"10046791"	1	"L"	""	"Chloritization Of Igneous Rock"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
99	"10077884"	2	"L"	"Carbonitization"	""	"DCAUSEY"	"03-FEB-2009 15:43:48"	""	""
100	"10077884"	1	"L"	"Complete serpentinization of host rock"	""	"DCAUSEY"	"03-FEB-2009 15:22:08"	""	""
101	"10098630"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
102	"10093597"	1	"L"	""	"Fe Oxide"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
103	"10093596"	1	"L"	""	"Fe Stain"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
104	"10083051"	1	"L"	""	"Weathering Of Limestone To Form A Gravel Spar Deposit."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
105	"10070042"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
106	"10046704"	1	"L"	""	"Strong Alteration Of Sandstorm Rhyolite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
107	"10043964"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
108	"10096204"	1	"L"	""	"Oxidation, Silicified, Sericitized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
109	"10047538"	1	"L"	""	"Yes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
110	"10057886"	1	"L"	""	"Potassic, Argillic, Propylitic, Silicic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
111	"10072200"	1	"L"	""	"Silicified Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
112	"10106199"	1	"L"	""	"Removal of hematite, copper replacement; quartz-pumpellyite bleaching"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
113	"10310541"	1	"L"	""	"Mineralization  is closely associated with major decalcification and to a lesser extent with silicification of host rocks  and jasperoid development along high-angle structures.  Also evident is remobilization of carbon and  oxidation and redistribution. Minor bleaching, calcite veining, argillization. All alteration types occur mainly up dip from the feeder structure. The oxidation of pyrite and subsequent remobilization of iron oxides have produced spectacular brick-red to dark yellow brown banding in the oxidized, decalcified limestone. In many areas the ore exhibits intense liesegang banding. Most of the calcite veining is characterized by 0.1-30 cm veins located up dip from the orebody. Argillization is rare. Illitic clays have been locally altered to montmorillonite and allophane.  "	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
114	"10104488"	1	"L"	""	"Argillic, Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
115	"10077520"	1	"L"	""	"Silicified, Pyritized, Sericite, Carbonatization, Albitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
116	"10019909"	1	"L"	""	"Oxidation, Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
117	"10086801"	1	"L"	""	"Silicificacion"	"MRDS migration"	"29-OCT-02"	""	""
118	"10093590"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
119	"10057825"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
120	"10059984"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
121	"10004040"	1	"L"	""	"Sericitizacion,  Alteracion Feldespatica."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
122	"10047204"	1	"L"	""	"Silication"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
123	"10107613"	1	"L"	""	"Contact Metamorphism Of Shale; Sericitization, Kaolinitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
124	"10096168"	1	"L"	""	"Hydrothermal Alteration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
125	"10019994"	1	"L"	""	"Dolomite Is Silicified."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
126	"10071645"	1	"L"	""	"Sericitization, Silicification, Epidote, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
127	"10043729"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
128	"10000983"	1	"L"	""	"The intrusive rocks have undergone argillic alteration.  Some galena has been altered to cerussite (Johnson, 1912).  Limonite and abundant scorodite is also present where arsenopyrite is prominent  (Hoekzema and other, 1987)."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 16:16:21"
129	"10086874"	1	"L"	""	"Oxidacion"	"MRDS migration"	"29-OCT-02"	""	""
130	"10055029"	1	"L"	""	"Caolinizacion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
131	"10005919"	1	"L"	""	"Silicification, Argillization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
132	"10055018"	1	"L"	""	"Limonitizacion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
133	"10033095"	1	"L"	""	"Peridotite And Dunite Are Locally Serpentinized"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
134	"10009237"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
135	"10089569"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
136	"10013272"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
137	"10103999"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
138	"10001552"	1	"L"	""	"Locally conspicuous iron-staining."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
139	"10003199"	1	"L"	""	"Oxdized; iron oxides/hydroxides present."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
140	"10044596"	1	"L"	""	"Chloritization Of Diorite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
141	"10096924"	1	"L"	""	"Contact Metamorphism Of Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
142	"10098452"	1	"L"	""	"Silicification Of Breccia  Is Most Intense In The Rhyolite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
143	"10026719"	1	"L"	""	"Silicificacion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
144	"10080418"	1	"L"	""	"Weathered Ore Enriched By Solution Of Lime"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
145	"60001804"	1	"L"	"CHLORITIZATION"	"CHLORITISATION"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
146	"10054964"	1	"L"	""	"Limonitizacion, Piritizacion, Silicificacion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
147	"10043436"	1	"L"	""	"Complete Serpentinization Of Host Rock."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
148	"10023658"	1	"L"	""	"Host Rocks Metamorphosed To Talcose Phyllite In Lprot."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
149	"10308349"	1	"L"	""	"None reported."	"ARDF migration"	"06-OCT-03"	""	""
150	"10039550"	1	"L"	""	"Portions Of Vein Containing Abundant Manganese And Iron Oxides Have Richest Ore."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
151	"10111483"	1	"L"	""	"Calc-Silicates, Silification, Argilization, Biotite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
152	"10015796"	1	"L"	""	"Limonitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
153	"10059394"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
154	"10098434"	1	"L"	""	"Schistocity"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
155	"10015106"	1	"L"	""	"Bleaching In Mudstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
156	"10042164"	1	"L"	""	"Contact Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
157	"10071900"	1	"L"	""	"Carbonatization, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
158	"10105677"	1	"L"	""	"Sericite, Epidote, Silica, Chlorite, Albite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
159	"10310695"	1	"L"	""	"None reported"	"Surveys and Analysis Project"	"20-FEB-2008 00:00:00"	"Schruben, Paul"	"20-FEB-2008 00:00:00"
160	"10055030"	1	"L"	""	"Limonitizacion"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
161	"10002943"	1	"L"	""	"Sericite, scorodite, iron oxide and antimony oxide."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
162	"10090042"	1	"L"	""	"Argillization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
163	"10100966"	1	"L"	""	"Sericitization, Silicification, Pyritization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
164	"10308775"	1	""	""	"Sheared hostrocks are partly replaced by disseminated sulfides, and possibly silicified."	"ARDF migration"	"06-OCT-2003 00:00:00"	""	""
165	"10080999"	1	"L"	""	"Brecciation Present"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
166	"10102129"	1	"L"	""	"Some Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
167	"10103874"	1	"L"	""	"Silicification, Chloritization, Sericitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
168	"10104453"	1	"L"	""	"Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
169	"10080402"	1	"L"	""	"Removal of hematite, copper replacement, quartz-pumpellyite bleaching"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
170	"10073361"	1	"L"	""	"Gossan"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
171	"10106994"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
172	"10022798"	1	"L"	""	"Contact Metamorphism Of Limestone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
173	"10165942"	2	"L"	"Silicification"	""	"GMELTON"	"17-APR-2007 09:10:12"	""	""
174	"10165942"	1	"L"	"Sericitized"	""	"GMELTON"	"17-APR-2007 09:09:14"	""	""
175	"10071616"	2	"L"	"Silicification"	""	"WBFERGUS"	"14-DEC-2008 08:49:10"	""	""
176	"10071616"	1	"L"	"Oxidation"	"Oxidation, Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"14-DEC-2008 08:49:00"
177	"10027143"	1	"L"	""	"Au & Ag Concentrated In Oxidized Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
178	"10040029"	1	"L"	""	"Silicification Of Chert Around The Deposit"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
179	"10069946"	1	"L"	""	"Chlorite; Oxidation (Limonite And Malachite Stains)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
180	"10000414"	1	"L"	""	"None reported, although Borden and others (1991) report other veins in the Nuka Bay district show carbonization, sulfidization, sericitization, and silicification of the wall rock adjacent to the veins."	"MRDS migration"	"29-OCT-02"	"ARDF Migration"	"23-AUG-07"
181	"10005627"	1	"L"	""	"La Mena Se Encuentra Con Los Oxidos"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
182	"10001987"	1	"L"	""	"Silicification."	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 04:16:35"
183	"10082712"	1	"L"	""	"Some magnetite formed by replacement of ferrous iron minerals during diagenesis and most iron silicate probably formed by metamorphism of an early silicate mineral."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
184	"10014877"	1	"L"	""	"Bleaching, Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
185	"10307224"	1	"L"	""	"Low Grade Metamorphism"	"woodruff"	"12-OCT-04"	""	""
186	"10003801"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
187	"10105577"	2	"L"	"Oxidized"	""	"WBFERGUS"	"20-DEC-2008 12:43:35"	""	""
188	"10105577"	1	"L"	"Pyritized"	""	"MRDS migration"	"29-OCT-2002 09:07:14"	"WBFERGUS"	"20-DEC-2008 12:43:27"
189	"10014562"	1	"L"	""	"Alteration Of Biotite And/Or Phlogopite To Vermiculite"	"MRDS migration"	"29-OCT-02"	""	""
190	"10005830"	1	"L"	""	"Argillic,2silicic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
191	"10048332"	1	"L"	""	"Sericitic Zone At Contact Of Quartz Monzonite And Granite Porphyry"	"MRDS migration"	"29-OCT-02"	""	""
192	"10104991"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
193	"10078411"	1	"L"	""	"Gouge; Silicification; Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
194	"10012637"	1	"L"	""	"Bleaching, Recrystallization Of Ls."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
195	"10085665"	1	"L"	""	"Adularia"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
196	"10020285"	1	"L"	""	"Contact Metamorphism & Assoc. Minerals"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
197	"10068924"	1	"L"	""	"Granite Altered (Kaolinized?) And Laced With Fractured Stained By Iron Oxide. An Aureole Of Garnet-Epidote Tactite Or Skarn 2-30 M Wide Has Developed In The Limestone At The Granite Contact, And Some Of The Limestone Beds Are Altered For As Much As Several Hundred Meters From The Contact."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
198	"10061543"	1	"L"	""	"Silicification And Tourmalinization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
199	"10101829"	1	"L"	""	"Yellow, White And Reddish Brown Discoloring"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
200	"10039629"	1	"L"	""	"Oxidized Fe & Mn Carrying Ag & Pb; Fractured And Silicified Limest One"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
201	"10307260"	1	"L"	""	"Sulfide-bearing black shale is stained and bleached."	"ARDF migration"	"06-OCT-03"	""	""
202	"10012971"	1	"L"	""	"Contact Metamorphism Has Altered The Shale Adjacent To The Porphyry."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
203	"10043766"	1	"L"	""	"Silicification, Kaolinization (?) Altered Rhyolite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
204	"10104618"	1	"L"	""	"Phyllic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
205	"10064307"	1	"L"	""	"Silicification, Chloritization, Sericitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
206	"10048173"	1	"L"	""	"None"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
207	"10042174"	1	"L"	""	"Argillization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
208	"10042234"	1	"L"	""	"Argillization-Weak"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
209	"10008961"	1	"L"	""	"Fluorite Replaces Vein Quartz"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
